Randomizer Version: 4.5.1-HAL
Random Seed: 23962706501124
Settings String: 320WRECAgKXAJoAnQCRAAKjJGkECQEACQACCQASEgAAAAAADAiI5AHkRAAICTIGBQLKAHEAFlBva2Vtb24gU291bFNpbHZlciAoVSnkkKFMusobtQ==

--Randomized Evolutions--
BULBASAUR       -> VOLBEAT        
321 WAILORD       |TM01 Covet |TM02 Heal Order |TM03 Take Down |            - |TM05 Stomp |TM06 Tackle |              - |              - |TM09 ThunderPunch |                - |              - |TM12 Me First |TM13 Block |         - |              - |            - |TM17 Toxic |TM18 Muddy Water |               - |            - |            - |TM22 Minimize |TM23 Curse |                - |TM25 Pain Split |              - |TM27 Razor Leaf |TM28 Megahorn |TM29 Spark |TM30 Fake Tears |TM31 Barrier |TM32 Mind Reader |             - |           - |TM35 Fire Blast |              - |               - |TM38 Icy Wind |              - |                - |             - |             - |               - |          - |              - |               - |TM47 Bonemerang |TM48 Fake Out |               - |TM50 Icicle Spear |TM51 Stone Edge |TM52 Spider Web |             - |                - |               - |TM56 Aurora Beam |TM57 Thunder Wave |              - |TM59 Helping Hand |TM60 Dragon Rage |TM61 Bone Rush |               - |           - |                - |TM65 Softboiled |                - |TM67 SmellingSalt |               - |           - |TM70 Belly Drum |                - |        - |TM73 DragonBreath |TM74 Triple Kick |TM75 Sing |TM76 Acid |              - |TM78 Nightmare |             - |TM80 Sacred Fire |TM81 DynamicPunch |TM82 Spike Cannon |             - |         - |               - |TM86 Endure |TM87 Giga Drain |               - |          - |           - |           - |TM92 Aerial Ace |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
322 NUMEL         |         - |              - |             - |            - |TM05 Stomp |TM06 Tackle |TM07 Leech Life |TM08 Leech Seed |                - |                - |TM11 Sheer Cold |            - |TM13 Block |         - |TM15 Hyper Beam |            - |TM17 Toxic |               - |TM19 Poison Fang |            - |            - |            - |TM23 Curse |TM24 Spacial Rend |              - |TM26 Leaf Storm |              - |TM28 Megahorn |TM29 Spark |TM30 Fake Tears |TM31 Barrier |               - |TM33 Follow Me |TM34 Flatter |TM35 Fire Blast |              - |               - |            - |              - |                - |TM41 Knock Off |TM42 Tail Whip |               - |TM44 Tickle |TM45 Crush Claw |               - |TM47 Bonemerang |TM48 Fake Out |TM49 Sweet Scent |TM50 Icicle Spear |TM51 Stone Edge |TM52 Spider Web |TM53 Air Slash |TM54 Hidden Power |               - |TM56 Aurora Beam |TM57 Thunder Wave |TM58 Dark Pulse |                - |TM60 Dragon Rage |             - |               - |TM63 Fissure |TM64 Quick Attack |              - |                - |TM67 SmellingSalt |               - |TM69 Bulk Up |              - |                - |TM72 Haze |TM73 DragonBreath |TM74 Triple Kick |        - |        - |              - |             - |TM79 Stockpile |TM80 Sacred Fire |                - |                - |             - |         - |TM85 False Swipe |          - |TM87 Giga Drain |               - |TM89 Return |TM90 Agility |           - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
323 CAMERUPT      |TM01 Covet |              - |             - |TM04 Judgment |         - |          - |              - |TM08 Leech Seed |TM09 ThunderPunch |                - |              - |TM12 Me First |TM13 Block |         - |              - |TM16 Aqua Jet |         - |TM18 Muddy Water |TM19 Poison Fang |            - |TM21 Overheat |            - |TM23 Curse |TM24 Spacial Rend |              - |              - |TM27 Razor Leaf |            - |         - |              - |           - |TM32 Mind Reader |TM33 Follow Me |           - |TM35 Fire Blast |TM36 Trick Room |TM37 Hyper Voice |TM38 Icy Wind |              - |                - |             - |TM42 Tail Whip |               - |TM44 Tickle |              - |               - |              - |TM48 Fake Out |               - |                - |              - |TM52 Spider Web |TM53 Air Slash |TM54 Hidden Power |               - |               - |TM57 Thunder Wave |TM58 Dark Pulse |                - |               - |TM61 Bone Rush |TM62 Brick Break |TM63 Fissure |                - |TM65 Softboiled |TM66 Future Sight |                - |TM68 Drain Punch |           - |TM70 Belly Drum |TM71 Shadow Punch |        - |                - |               - |        - |TM76 Acid |TM77 Skull Bash |             - |TM79 Stockpile |TM80 Sacred Fire |                - |TM82 Spike Cannon |TM83 Jump Kick |         - |               - |TM86 Endure |              - |               - |TM89 Return |           - |TM91 Protect |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
324 TORKOAL       |TM01 Covet |TM02 Heal Order |TM03 Take Down |TM04 Judgment |         - |          - |TM07 Leech Life |              - |TM09 ThunderPunch |TM10 Swords Dance |TM11 Sheer Cold |TM12 Me First |         - |         - |TM15 Hyper Beam |TM16 Aqua Jet |TM17 Toxic |               - |TM19 Poison Fang |            - |            - |TM22 Minimize |TM23 Curse |                - |TM25 Pain Split |TM26 Leaf Storm |              - |            - |         - |TM30 Fake Tears |TM31 Barrier |TM32 Mind Reader |             - |           - |              - |              - |TM37 Hyper Voice |TM38 Icy Wind |TM39 Rock Throw |                - |             - |TM42 Tail Whip |TM43 Metal Burst |          - |TM45 Crush Claw |               - |              - |            - |TM49 Sweet Scent |TM50 Icicle Spear |TM51 Stone Edge |              - |TM53 Air Slash |                - |               - |               - |TM57 Thunder Wave |              - |TM59 Helping Hand |TM60 Dragon Rage |             - |               - |           - |                - |TM65 Softboiled |                - |                - |TM68 Drain Punch |           - |              - |                - |        - |TM73 DragonBreath |               - |TM75 Sing |TM76 Acid |TM77 Skull Bash |             - |TM79 Stockpile |               - |TM81 DynamicPunch |                - |TM83 Jump Kick |         - |               - |TM86 Endure |              - |TM88 Magma Storm |TM89 Return |           - |TM91 Protect |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
325 SPOINK        |         - |TM02 Heal Order |             - |            - |         - |          - |              - |TM08 Leech Seed |                - |TM10 Swords Dance |              - |TM12 Me First |         - |         - |              - |TM16 Aqua Jet |         - |TM18 Muddy Water |TM19 Poison Fang |TM20 Mud Bomb |            - |TM22 Minimize |TM23 Curse |TM24 Spacial Rend |              - |TM26 Leaf Storm |TM27 Razor Leaf |            - |         - |              - |           - |TM32 Mind Reader |             - |TM34 Flatter |TM35 Fire Blast |TM36 Trick Room |               - |            - |TM39 Rock Throw |                - |             - |             - |TM43 Metal Burst |          - |              - |               - |TM47 Bonemerang |TM48 Fake Out |               - |TM50 Icicle Spear |              - |TM52 Spider Web |             - |                - |TM55 Petal Dance |               - |TM57 Thunder Wave |              - |                - |TM60 Dragon Rage |             - |TM62 Brick Break |           - |TM64 Quick Attack |TM65 Softboiled |TM66 Future Sight |                - |               - |           - |TM70 Belly Drum |                - |TM72 Haze |                - |               - |TM75 Sing |TM76 Acid |TM77 Skull Bash |TM78 Nightmare |TM79 Stockpile |               - |TM81 DynamicPunch |TM82 Spike Cannon |TM83 Jump Kick |TM84 Fling |TM85 False Swipe |TM86 Endure |TM87 Giga Drain |TM88 Magma Storm |TM89 Return |TM90 Agility |           - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
326 GRUMPIG       |         - |TM02 Heal Order |TM03 Take Down |            - |TM05 Stomp |          - |TM07 Leech Life |TM08 Leech Seed |TM09 ThunderPunch |TM10 Swords Dance |              - |            - |         - |         - |              - |            - |         - |TM18 Muddy Water |               - |            - |            - |            - |TM23 Curse |TM24 Spacial Rend |TM25 Pain Split |TM26 Leaf Storm |              - |            - |TM29 Spark |              - |TM31 Barrier |TM32 Mind Reader |             - |TM34 Flatter |              - |TM36 Trick Room |TM37 Hyper Voice |            - |              - |                - |             - |             - |TM43 Metal Burst |          - |              - |TM46 Powder Snow |              - |            - |               - |TM50 Icicle Spear |TM51 Stone Edge |              - |TM53 Air Slash |                - |               - |               - |                - |              - |TM59 Helping Hand |               - |             - |TM62 Brick Break |TM63 Fissure |                - |TM65 Softboiled |                - |                - |               - |           - |TM70 Belly Drum |TM71 Shadow Punch |TM72 Haze |TM73 DragonBreath |               - |TM75 Sing |TM76 Acid |              - |             - |TM79 Stockpile |TM80 Sacred Fire |                - |TM82 Spike Cannon |TM83 Jump Kick |         - |TM85 False Swipe |          - |              - |TM88 Magma Storm |TM89 Return |TM90 Agility |TM91 Protect |TM92 Aerial Ace |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
327 SPINDA        |         - |              - |TM03 Take Down |TM04 Judgment |TM05 Stomp |          - |              - |TM08 Leech Seed |                - |TM10 Swords Dance |TM11 Sheer Cold |TM12 Me First |         - |         - |              - |TM16 Aqua Jet |TM17 Toxic |               - |               - |            - |TM21 Overheat |            - |TM23 Curse |TM24 Spacial Rend |              - |              - |TM27 Razor Leaf |TM28 Megahorn |         - |TM30 Fake Tears |TM31 Barrier |TM32 Mind Reader |TM33 Follow Me |           - |TM35 Fire Blast |              - |TM37 Hyper Voice |            - |              - |                - |             - |TM42 Tail Whip |TM43 Metal Burst |TM44 Tickle |TM45 Crush Claw |               - |              - |            - |TM49 Sweet Scent |TM50 Icicle Spear |TM51 Stone Edge |TM52 Spider Web |             - |                - |TM55 Petal Dance |TM56 Aurora Beam |                - |TM58 Dark Pulse |                - |               - |             - |TM62 Brick Break |           - |                - |TM65 Softboiled |                - |                - |               - |TM69 Bulk Up |TM70 Belly Drum |TM71 Shadow Punch |TM72 Haze |                - |               - |TM75 Sing |TM76 Acid |              - |TM78 Nightmare |TM79 Stockpile |               - |                - |                - |TM83 Jump Kick |TM84 Fling |TM85 False Swipe |TM86 Endure |TM87 Giga Drain |               - |TM89 Return |TM90 Agility |           - |TM92 Aerial Ace |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
328 TRAPINCH      |         - |              - |TM03 Take Down |TM04 Judgment |TM05 Stomp |          - |              - |              - |TM09 ThunderPunch |TM10 Swords Dance |TM11 Sheer Cold |            - |         - |         - |              - |TM16 Aqua Jet |         - |TM18 Muddy Water |TM19 Poison Fang |            - |            - |TM22 Minimize |         - |                - |TM25 Pain Split |              - |              - |            - |TM29 Spark |TM30 Fake Tears |           - |               - |             - |           - |              - |TM36 Trick Room |               - |            - |              - |TM40 Attack Order |TM41 Knock Off |TM42 Tail Whip |               - |TM44 Tickle |TM45 Crush Claw |TM46 Powder Snow |TM47 Bonemerang |TM48 Fake Out |               - |TM50 Icicle Spear |              - |TM52 Spider Web |TM53 Air Slash |                - |               - |TM56 Aurora Beam |                - |TM58 Dark Pulse |TM59 Helping Hand |               - |             - |               - |           - |                - |              - |TM66 Future Sight |TM67 SmellingSalt |               - |TM69 Bulk Up |TM70 Belly Drum |                - |        - |TM73 DragonBreath |               - |        - |TM76 Acid |              - |TM78 Nightmare |TM79 Stockpile |               - |                - |                - |             - |TM84 Fling |TM85 False Swipe |          - |              - |               - |TM89 Return |           - |           - |TM92 Aerial Ace |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
329 VIBRAVA       |         - |              - |             - |            - |         - |TM06 Tackle |TM07 Leech Life |              - |TM09 ThunderPunch |TM10 Swords Dance |              - |TM12 Me First |         - |         - |TM15 Hyper Beam |            - |TM17 Toxic |               - |TM19 Poison Fang |TM20 Mud Bomb |TM21 Overheat |TM22 Minimize |         - |                - |              - |              - |              - |            - |         - |TM30 Fake Tears |           - |               - |             - |           - |TM35 Fire Blast |TM36 Trick Room |TM37 Hyper Voice |TM38 Icy Wind |              - |TM40 Attack Order |             - |TM42 Tail Whip |TM43 Metal Burst |TM44 Tickle |TM45 Crush Claw |TM46 Powder Snow |TM47 Bonemerang |TM48 Fake Out |TM49 Sweet Scent |                - |TM51 Stone Edge |              - |             - |TM54 Hidden Power |TM55 Petal Dance |               - |TM57 Thunder Wave |TM58 Dark Pulse |                - |TM60 Dragon Rage |             - |               - |TM63 Fissure |                - |              - |                - |TM67 SmellingSalt |               - |           - |              - |TM71 Shadow Punch |TM72 Haze |                - |TM74 Triple Kick |        - |TM76 Acid |              - |             - |             - |               - |                - |                - |             - |TM84 Fling |TM85 False Swipe |TM86 Endure |TM87 Giga Drain |TM88 Magma Storm |          - |           - |TM91 Protect |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
330 FLYGON        |         - |TM02 Heal Order |             - |            - |TM05 Stomp |TM06 Tackle |TM07 Leech Life |TM08 Leech Seed |TM09 ThunderPunch |TM10 Swords Dance |              - |            - |         - |         - |TM15 Hyper Beam |TM16 Aqua Jet |TM17 Toxic |               - |               - |            - |            - |TM22 Minimize |         - |TM24 Spacial Rend |              - |TM26 Leaf Storm |TM27 Razor Leaf |            - |         - |TM30 Fake Tears |TM31 Barrier |TM32 Mind Reader |TM33 Follow Me |           - |TM35 Fire Blast |TM36 Trick Room |TM37 Hyper Voice |TM38 Icy Wind |              - |TM40 Attack Order |TM41 Knock Off |             - |               - |TM44 Tickle |              - |TM46 Powder Snow |              - |            - |TM49 Sweet Scent |                - |              - |TM52 Spider Web |             - |TM54 Hidden Power |TM55 Petal Dance |               - |                - |TM58 Dark Pulse |TM59 Helping Hand |               - |             - |               - |TM63 Fissure |                - |              - |TM66 Future Sight |TM67 SmellingSalt |TM68 Drain Punch |           - |TM70 Belly Drum |                - |TM72 Haze |TM73 DragonBreath |               - |TM75 Sing |        - |              - |TM78 Nightmare |TM79 Stockpile |TM80 Sacred Fire |                - |                - |TM83 Jump Kick |TM84 Fling |TM85 False Swipe |          - |TM87 Giga Drain |TM88 Magma Storm |          - |           - |TM91 Protect |TM92 Aerial Ace |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
331 CACNEA        |TM01 Covet |              - |TM03 Take Down |TM04 Judgment |         - |TM06 Tackle |TM07 Leech Life |TM08 Leech Seed |TM09 ThunderPunch |                - |              - |            - |TM13 Block |         - |              - |            - |         - |               - |TM19 Poison Fang |            - |            - |TM22 Minimize |         - |TM24 Spacial Rend |              - |TM26 Leaf Storm |              - |TM28 Megahorn |         - |TM30 Fake Tears |           - |               - |TM33 Follow Me |           - |              - |              - |               - |TM38 Icy Wind |TM39 Rock Throw |                - |             - |             - |TM43 Metal Burst |TM44 Tickle |              - |               - |              - |TM48 Fake Out |TM49 Sweet Scent |                - |TM51 Stone Edge |TM52 Spider Web |TM53 Air Slash |                - |TM55 Petal Dance |               - |                - |TM58 Dark Pulse |                - |TM60 Dragon Rage |             - |               - |           - |TM64 Quick Attack |TM65 Softboiled |TM66 Future Sight |TM67 SmellingSalt |TM68 Drain Punch |           - |              - |                - |        - |                - |               - |        - |        - |              - |TM78 Nightmare |             - |               - |TM81 DynamicPunch |TM82 Spike Cannon |             - |TM84 Fling |               - |TM86 Endure |TM87 Giga Drain |TM88 Magma Storm |          - |           - |           - |TM92 Aerial Ace |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
332 CACTURNE      |TM01 Covet |TM02 Heal Order |TM03 Take Down |TM04 Judgment |         - |TM06 Tackle |              - |TM08 Leech Seed |                - |                - |TM11 Sheer Cold |            - |         - |         - |TM15 Hyper Beam |TM16 Aqua Jet |TM17 Toxic |TM18 Muddy Water |TM19 Poison Fang |TM20 Mud Bomb |            - |            - |TM23 Curse |TM24 Spacial Rend |TM25 Pain Split |TM26 Leaf Storm |              - |TM28 Megahorn |         - |TM30 Fake Tears |TM31 Barrier |               - |             - |           - |              - |TM36 Trick Room |TM37 Hyper Voice |TM38 Icy Wind |TM39 Rock Throw |                - |             - |             - |               - |          - |TM45 Crush Claw |               - |              - |            - |               - |                - |              - |              - |             - |TM54 Hidden Power |TM55 Petal Dance |TM56 Aurora Beam |TM57 Thunder Wave |              - |TM59 Helping Hand |TM60 Dragon Rage |             - |               - |           - |                - |              - |TM66 Future Sight |TM67 SmellingSalt |               - |           - |              - |TM71 Shadow Punch |        - |TM73 DragonBreath |               - |        - |        - |TM77 Skull Bash |TM78 Nightmare |TM79 Stockpile |               - |                - |                - |             - |         - |               - |          - |              - |TM88 Magma Storm |          - |TM90 Agility |TM91 Protect |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
333 SWABLU        |         - |TM02 Heal Order |TM03 Take Down |TM04 Judgment |TM05 Stomp |          - |              - |              - |                - |                - |              - |            - |         - |TM14 Spite |              - |TM16 Aqua Jet |         - |TM18 Muddy Water |               - |            - |            - |            - |         - |TM24 Spacial Rend |TM25 Pain Split |              - |TM27 Razor Leaf |TM28 Megahorn |TM29 Spark |TM30 Fake Tears |           - |TM32 Mind Reader |TM33 Follow Me |TM34 Flatter |              - |TM36 Trick Room |TM37 Hyper Voice |TM38 Icy Wind |              - |                - |             - |TM42 Tail Whip |               - |TM44 Tickle |TM45 Crush Claw |TM46 Powder Snow |              - |            - |               - |                - |              - |TM52 Spider Web |             - |                - |               - |               - |                - |              - |                - |TM60 Dragon Rage |             - |               - |TM63 Fissure |TM64 Quick Attack |TM65 Softboiled |TM66 Future Sight |TM67 SmellingSalt |               - |           - |              - |TM71 Shadow Punch |TM72 Haze |TM73 DragonBreath |TM74 Triple Kick |        - |TM76 Acid |              - |TM78 Nightmare |             - |               - |TM81 DynamicPunch |TM82 Spike Cannon |             - |TM84 Fling |TM85 False Swipe |          - |TM87 Giga Drain |               - |          - |           - |           - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
334 ALTARIA       |         - |TM02 Heal Order |TM03 Take Down |            - |TM05 Stomp |TM06 Tackle |              - |TM08 Leech Seed |                - |                - |              - |            - |         - |TM14 Spite |              - |            - |         - |TM18 Muddy Water |TM19 Poison Fang |TM20 Mud Bomb |TM21 Overheat |TM22 Minimize |         - |                - |              - |TM26 Leaf Storm |              - |            - |TM29 Spark |TM30 Fake Tears |TM31 Barrier |TM32 Mind Reader |             - |           - |TM35 Fire Blast |TM36 Trick Room |TM37 Hyper Voice |TM38 Icy Wind |TM39 Rock Throw |TM40 Attack Order |             - |             - |               - |TM44 Tickle |TM45 Crush Claw |               - |              - |            - |TM49 Sweet Scent |                - |TM51 Stone Edge |TM52 Spider Web |             - |                - |TM55 Petal Dance |TM56 Aurora Beam |TM57 Thunder Wave |              - |TM59 Helping Hand |               - |             - |TM62 Brick Break |           - |                - |              - |                - |TM67 SmellingSalt |               - |           - |              - |                - |        - |                - |               - |        - |TM76 Acid |              - |             - |             - |TM80 Sacred Fire |                - |TM82 Spike Cannon |             - |         - |TM85 False Swipe |          - |              - |               - |          - |           - |           - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
335 ZANGOOSE      |TM01 Covet |TM02 Heal Order |             - |            - |         - |          - |TM07 Leech Life |TM08 Leech Seed |TM09 ThunderPunch |TM10 Swords Dance |TM11 Sheer Cold |TM12 Me First |         - |TM14 Spite |              - |TM16 Aqua Jet |         - |               - |TM19 Poison Fang |TM20 Mud Bomb |TM21 Overheat |TM22 Minimize |TM23 Curse |                - |              - |TM26 Leaf Storm |TM27 Razor Leaf |            - |         - |              - |           - |TM32 Mind Reader |TM33 Follow Me |TM34 Flatter |TM35 Fire Blast |TM36 Trick Room |TM37 Hyper Voice |            - |TM39 Rock Throw |                - |             - |             - |               - |TM44 Tickle |TM45 Crush Claw |TM46 Powder Snow |TM47 Bonemerang |            - |TM49 Sweet Scent |TM50 Icicle Spear |              - |TM52 Spider Web |             - |TM54 Hidden Power |               - |               - |TM57 Thunder Wave |              - |                - |               - |             - |TM62 Brick Break |TM63 Fissure |                - |              - |                - |TM67 SmellingSalt |               - |TM69 Bulk Up |              - |                - |        - |                - |               - |TM75 Sing |TM76 Acid |              - |             - |TM79 Stockpile |TM80 Sacred Fire |                - |                - |TM83 Jump Kick |TM84 Fling |TM85 False Swipe |          - |TM87 Giga Drain |               - |          - |TM90 Agility |           - |TM92 Aerial Ace |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
336 SEVIPER       |         - |              - |TM03 Take Down |TM04 Judgment |         - |          - |              - |TM08 Leech Seed |                - |                - |TM11 Sheer Cold |            - |         - |         - |              - |            - |TM17 Toxic |               - |TM19 Poison Fang |            - |            - |            - |TM23 Curse |                - |TM25 Pain Split |TM26 Leaf Storm |              - |TM28 Megahorn |         - |TM30 Fake Tears |TM31 Barrier |TM32 Mind Reader |             - |TM34 Flatter |              - |              - |TM37 Hyper Voice |            - |              - |TM40 Attack Order |             - |TM42 Tail Whip |TM43 Metal Burst |          - |TM45 Crush Claw |TM46 Powder Snow |              - |            - |TM49 Sweet Scent |                - |              - |TM52 Spider Web |             - |TM54 Hidden Power |TM55 Petal Dance |               - |                - |              - |                - |TM60 Dragon Rage |TM61 Bone Rush |TM62 Brick Break |TM63 Fissure |                - |              - |                - |TM67 SmellingSalt |               - |           - |TM70 Belly Drum |                - |TM72 Haze |                - |               - |TM75 Sing |TM76 Acid |              - |             - |             - |               - |TM81 DynamicPunch |TM82 Spike Cannon |TM83 Jump Kick |         - |TM85 False Swipe |          - |TM87 Giga Drain |               - |          - |           - |           - |TM92 Aerial Ace |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
337 LUNATONE      |TM01 Covet |TM02 Heal Order |             - |            - |         - |TM06 Tackle |              - |              - |                - |                - |              - |            - |TM13 Block |         - |              - |TM16 Aqua Jet |TM17 Toxic |TM18 Muddy Water |               - |TM20 Mud Bomb |TM21 Overheat |TM22 Minimize |         - |                - |TM25 Pain Split |TM26 Leaf Storm |              - |TM28 Megahorn |         - |TM30 Fake Tears |           - |TM32 Mind Reader |TM33 Follow Me |TM34 Flatter |              - |              - |               - |            - |              - |TM40 Attack Order |TM41 Knock Off |TM42 Tail Whip |TM43 Metal Burst |          - |              - |               - |              - |            - |TM49 Sweet Scent |TM50 Icicle Spear |TM51 Stone Edge |              - |             - |                - |TM55 Petal Dance |               - |TM57 Thunder Wave |              - |TM59 Helping Hand |TM60 Dragon Rage |             - |               - |           - |TM64 Quick Attack |TM65 Softboiled |                - |TM67 SmellingSalt |               - |TM69 Bulk Up |TM70 Belly Drum |TM71 Shadow Punch |        - |                - |               - |        - |TM76 Acid |              - |             - |             - |TM80 Sacred Fire |TM81 DynamicPunch |                - |TM83 Jump Kick |TM84 Fling |TM85 False Swipe |          - |TM87 Giga Drain |               - |TM89 Return |           - |TM91 Protect |TM92 Aerial Ace |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
338 SOLROCK       |         - |              - |             - |TM04 Judgment |TM05 Stomp |          - |              - |              - |                - |                - |TM11 Sheer Cold |            - |TM13 Block |         - |              - |            - |TM17 Toxic |               - |TM19 Poison Fang |TM20 Mud Bomb |TM21 Overheat |TM22 Minimize |         - |TM24 Spacial Rend |              - |              - |TM27 Razor Leaf |            - |TM29 Spark |              - |           - |               - |             - |TM34 Flatter |              - |              - |TM37 Hyper Voice |            - |TM39 Rock Throw |                - |             - |             - |TM43 Metal Burst |          - |TM45 Crush Claw |TM46 Powder Snow |              - |TM48 Fake Out |TM49 Sweet Scent |TM50 Icicle Spear |TM51 Stone Edge |TM52 Spider Web |             - |TM54 Hidden Power |               - |               - |TM57 Thunder Wave |TM58 Dark Pulse |                - |               - |TM61 Bone Rush |TM62 Brick Break |TM63 Fissure |TM64 Quick Attack |              - |TM66 Future Sight |                - |               - |TM69 Bulk Up |              - |                - |        - |TM73 DragonBreath |TM74 Triple Kick |        - |        - |              - |             - |TM79 Stockpile |TM80 Sacred Fire |TM81 DynamicPunch |                - |             - |         - |               - |TM86 Endure |              - |               - |          - |           - |TM91 Protect |TM92 Aerial Ace |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
339 BARBOACH      |         - |              - |             - |            - |TM05 Stomp |          - |TM07 Leech Life |              - |                - |TM10 Swords Dance |TM11 Sheer Cold |            - |TM13 Block |TM14 Spite |              - |TM16 Aqua Jet |         - |               - |TM19 Poison Fang |TM20 Mud Bomb |            - |TM22 Minimize |TM23 Curse |                - |TM25 Pain Split |              - |              - |TM28 Megahorn |         - |              - |TM31 Barrier |               - |TM33 Follow Me |TM34 Flatter |TM35 Fire Blast |TM36 Trick Room |TM37 Hyper Voice |TM38 Icy Wind |TM39 Rock Throw |                - |TM41 Knock Off |TM42 Tail Whip |               - |TM44 Tickle |TM45 Crush Claw |TM46 Powder Snow |TM47 Bonemerang |TM48 Fake Out |               - |                - |TM51 Stone Edge |              - |             - |TM54 Hidden Power |TM55 Petal Dance |               - |                - |              - |TM59 Helping Hand |TM60 Dragon Rage |             - |TM62 Brick Break |           - |                - |              - |TM66 Future Sight |                - |TM68 Drain Punch |TM69 Bulk Up |              - |TM71 Shadow Punch |TM72 Haze |                - |TM74 Triple Kick |        - |TM76 Acid |TM77 Skull Bash |             - |TM79 Stockpile |TM80 Sacred Fire |TM81 DynamicPunch |TM82 Spike Cannon |TM83 Jump Kick |TM84 Fling |TM85 False Swipe |TM86 Endure |              - |TM88 Magma Storm |TM89 Return |TM90 Agility |           - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
340 WHISCASH      |         - |              - |             - |TM04 Judgment |TM05 Stomp |          - |              - |              - |                - |                - |              - |            - |TM13 Block |         - |TM15 Hyper Beam |            - |TM17 Toxic |               - |TM19 Poison Fang |TM20 Mud Bomb |            - |            - |TM23 Curse |TM24 Spacial Rend |TM25 Pain Split |TM26 Leaf Storm |TM27 Razor Leaf |TM28 Megahorn |         - |              - |TM31 Barrier |TM32 Mind Reader |             - |           - |              - |TM36 Trick Room |TM37 Hyper Voice |            - |TM39 Rock Throw |TM40 Attack Order |TM41 Knock Off |             - |               - |          - |TM45 Crush Claw |               - |              - |            - |               - |TM50 Icicle Spear |              - |              - |             - |                - |               - |               - |TM57 Thunder Wave |              - |                - |TM60 Dragon Rage |TM61 Bone Rush |               - |TM63 Fissure |                - |TM65 Softboiled |                - |TM67 SmellingSalt |TM68 Drain Punch |TM69 Bulk Up |TM70 Belly Drum |                - |        - |TM73 DragonBreath |               - |        - |TM76 Acid |TM77 Skull Bash |             - |TM79 Stockpile |               - |TM81 DynamicPunch |TM82 Spike Cannon |             - |TM84 Fling |               - |          - |TM87 Giga Drain |               - |TM89 Return |           - |           - |TM92 Aerial Ace |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
