Randomizer Version: 4.4.0
Random Seed: 89045239238659
Settings String: 318WRIEEgKXAJoAnQCRAAKeBnsECQEAFAACCQAuEgAAAAAADBCI5ATkQYYICTIGBQIyAAUVUG9rZW1vbiBIZWFydEdvbGQgKFUpgH3a3ePDOIo=

--Randomized Evolutions--
BULBASAUR       -> BAYLEEF        
GLACEON Lvs 21-24        HP 113 ATK 70  DEF 35  SPATK 127 SPDEF 90  SPEED 90 
GLACEON Lvs 21-24        HP 113 ATK 70  DEF 35  SPATK 127 SPDEF 90  SPEED 90 
HITMONLEE Lvs 21-24      HP 34  ATK 137 DEF 96  SPATK 20  SPDEF 85  SPEED 83 
HITMONLEE Lvs 21-24      HP 34  ATK 137 DEF 96  SPATK 20  SPDEF 85  SPEED 83 
HITMONLEE Lvs 21-24      HP 34  ATK 137 DEF 96  SPATK 20  SPDEF 85  SPEED 83 
CHINCHOU Lvs 26-29       HP 47  ATK 27  DEF 70  SPATK 57  SPDEF 37  SPEED 91 
DODUO Lvs 26-29          HP 33  ATK 85  DEF 77  SPATK 66  SPDEF 31  SPEED 18 
CHINCHOU Lvs 26-29       HP 47  ATK 27  DEF 70  SPATK 57  SPDEF 37  SPEED 91 
HITMONLEE Lvs 26-29      HP 34  ATK 137 DEF 96  SPATK 20  SPDEF 85  SPEED 83 
HITMONLEE Lvs 26-29      HP 34  ATK 137 DEF 96  SPATK 20  SPDEF 85  SPEED 83 
HITMONLEE Lvs 26-29      HP 34  ATK 137 DEF 96  SPATK 20  SPDEF 85  SPEED 83 

Set #843 - Mt. Silver Headbutt (rate=1)
OCTILLERY Lvs 59-60      HP 84  ATK 108 DEF 28  SPATK 92  SPDEF 90  SPEED 78 
PILOSWINE Lvs 59-60      HP 21  ATK 135 DEF 49  SPATK 70  SPDEF 138 SPEED 39 
PILOSWINE Lvs 59-60      HP 21  ATK 135 DEF 49  SPATK 70  SPDEF 138 SPEED 39 
CHIMCHAR Lvs 59-60       HP 85  ATK 31  DEF 58  SPATK 44  SPDEF 43  SPEED 48 
CHIMCHAR Lvs 59-60       HP 85  ATK 31  DEF 58  SPATK 44  SPDEF 43  SPEED 48 
CHIMCHAR Lvs 59-60       HP 85  ATK 31  DEF 58  SPATK 44  SPDEF 43  SPEED 48 
OCTILLERY Lvs 62-65      HP 84  ATK 108 DEF 28  SPATK 92  SPDEF 90  SPEED 78 
PILOSWINE Lvs 62-65      HP 21  ATK 135 DEF 49  SPATK 70  SPDEF 138 SPEED 39 
PILOSWINE Lvs 62-65      HP 21  ATK 135 DEF 49  SPATK 70  SPDEF 138 SPEED 39 
CHIMCHAR Lvs 62-65       HP 85  ATK 31  DEF 58  SPATK 44  SPDEF 43  SPEED 48 
CHIMCHAR Lvs 62-65       HP 85  ATK 31  DEF 58  SPATK 44  SPDEF 43  SPEED 48 
CHIMCHAR Lvs 62-65       HP 85  ATK 31  DEF 58  SPATK 44  SPDEF 43  SPEED 48 

Set #844 - Route 21 Headbutt (rate=1)
KIRLIA Lvs 36-39         HP 31  ATK 63  DEF 13  SPATK 45  SPDEF 43  SPEED 82 
TANGROWTH Lvs 36-39      HP 137 ATK 21  DEF 158 SPATK 102 SPDEF 68  SPEED 49 
TANGROWTH Lvs 36-39      HP 137 ATK 21  DEF 158 SPATK 102 SPDEF 68  SPEED 49 
BULBASAUR Lvs 36-39      HP 49  ATK 24  DEF 117 SPATK 38  SPDEF 78  SPEED 12 
BULBASAUR Lvs 36-39      HP 49  ATK 24  DEF 117 SPATK 38  SPDEF 78  SPEED 12 
BULBASAUR Lvs 36-39      HP 49  ATK 24  DEF 117 SPATK 38  SPDEF 78  SPEED 12 
KIRLIA Lvs 41-45         HP 31  ATK 63  DEF 13  SPATK 45  SPDEF 43  SPEED 82 
BLAZIKEN Lvs 41-45       HP 170 ATK 148 DEF 22  SPATK 127 SPDEF 11  SPEED 51 
KIRLIA Lvs 41-45         HP 31  ATK 63  DEF 13  SPATK 45  SPDEF 43  SPEED 82 
BULBASAUR Lvs 41-45      HP 49  ATK 24  DEF 117 SPATK 38  SPDEF 78  SPEED 12 
BULBASAUR Lvs 41-45      HP 49  ATK 24  DEF 117 SPATK 38  SPDEF 78  SPEED 12 
BULBASAUR Lvs 41-45      HP 49  ATK 24  DEF 117 SPATK 38  SPDEF 78  SPEED 12 

Set #845 - National Park Headbutt (rate=1)
JUMPLUFF Lvs 15-18       HP 87  ATK 65  DEF 11  SPATK 111 SPDEF 48  SPEED 128
GRAVELER Lvs 15-18       HP 47  ATK 38  DEF 60  SPATK 42  SPDEF 103 SPEED 99 
GRAVELER Lvs 15-18       HP 47  ATK 38  DEF 60  SPATK 42  SPDEF 103 SPEED 99 
SPHEAL Lvs 15-18         HP 42  ATK 55  DEF 29  SPATK 59  SPDEF 42  SPEED 64 
SPHEAL Lvs 15-18         HP 42  ATK 55  DEF 29  SPATK 59  SPDEF 42  SPEED 64 
SPHEAL Lvs 15-18         HP 42  ATK 55  DEF 29  SPATK 59  SPDEF 42  SPEED 64 
JUMPLUFF Lvs 20-23       HP 87  ATK 65  DEF 11  SPATK 111 SPDEF 48  SPEED 128
LUVDISC Lvs 20-23        HP 54  ATK 56  DEF 69  SPATK 30  SPDEF 66  SPEED 54 
LUVDISC Lvs 20-23        HP 54  ATK 56  DEF 69  SPATK 30  SPDEF 66  SPEED 54 
SPHEAL Lvs 20-23         HP 42  ATK 55  DEF 29  SPATK 59  SPDEF 42  SPEED 64 
SPHEAL Lvs 20-23         HP 42  ATK 55  DEF 29  SPATK 59  SPDEF 42  SPEED 64 
SPHEAL Lvs 20-23         HP 42  ATK 55  DEF 29  SPATK 59  SPDEF 42  SPEED 64 
SPHEAL Lvs 27-30         HP 42  ATK 55  DEF 29  SPATK 59  SPDEF 42  SPEED 64 
SPHEAL Lvs 27-30         HP 42  ATK 55  DEF 29  SPATK 59  SPDEF 42  SPEED 64 
POLIWRATH Lvs 27-30      HP 170 ATK 92  DEF 29  SPATK 15  SPDEF 53  SPEED 142
POLIWRATH Lvs 27-30      HP 170 ATK 92  DEF 29  SPATK 15  SPDEF 53  SPEED 142
POLIWRATH Lvs 27-30      HP 170 ATK 92  DEF 29  SPATK 15  SPDEF 53  SPEED 142
POLIWRATH Lvs 32-38      HP 170 ATK 92  DEF 29  SPATK 15  SPDEF 53  SPEED 142

Set #846 - Ilex Forest Headbutt (rate=1)
CORPHISH Lvs 5-8         HP 66  ATK 54  DEF 57  SPATK 53  SPDEF 31  SPEED 47 
LUXIO Lvs 5-8            HP 98  ATK 17  DEF 50  SPATK 75  SPDEF 40  SPEED 83 
LUXIO Lvs 5-8            HP 98  ATK 17  DEF 50  SPATK 75  SPDEF 40  SPEED 83 
CORPHISH Lvs 5-8         HP 66  ATK 54  DEF 57  SPATK 53  SPDEF 31  SPEED 47 
MINUN Lvs 5-8            HP 103 ATK 77  DEF 83  SPATK 53  SPDEF 13  SPEED 77 
MINUN Lvs 5-8            HP 103 ATK 77  DEF 83  SPATK 53  SPDEF 13  SPEED 77 
CORPHISH Lvs 9-12        HP 66  ATK 54  DEF 57  SPATK 53  SPDEF 31  SPEED 47 
GRIMER Lvs 9-12          HP 47  ATK 11  DEF 15  SPATK 63  SPDEF 60  SPEED 129
GRIMER Lvs 9-12          HP 47  ATK 11  DEF 15  SPATK 63  SPDEF 60  SPEED 129
HOOTHOOT Lvs 9-12        HP 94  ATK 34  DEF 35  SPATK 29  SPDEF 43  SPEED 26 
ELEKID Lvs 9-12          HP 90  ATK 96  DEF 73  SPATK 25  SPDEF 55  SPEED 22 
ELEKID Lvs 9-12          HP 90  ATK 96  DEF 73  SPATK 25  SPDEF 55  SPEED 22 

Set #847 - Viridian Forest Headbutt (rate=1)
PORYGON-Z Lvs 5-6        HP 78  ATK 134 DEF 128 SPATK 20  SPDEF 66  SPEED 109
CASTFORM Lvs 5-6         HP 89  ATK 37  DEF 97  SPATK 95  SPDEF 76  SPEED 26 
CASTFORM Lvs 5-6         HP 89  ATK 37  DEF 97  SPATK 95  SPDEF 76  SPEED 26 
SKARMORY Lvs 5-6         HP 72  ATK 123 DEF 127 SPATK 13  SPDEF 85  SPEED 45 
PORYGON-Z Lvs 5-6        HP 78  ATK 134 DEF 128 SPATK 20  SPDEF 66  SPEED 109
WALREIN Lvs 5-6          HP 63  ATK 101 DEF 78  SPATK 75  SPDEF 65  SPEED 149
PORYGON-Z Lvs 8-11       HP 78  ATK 134 DEF 128 SPATK 20  SPDEF 66  SPEED 109
CASTFORM Lvs 8-11        HP 89  ATK 37  DEF 97  SPATK 95  SPDEF 76  SPEED 26 
CASTFORM Lvs 8-11        HP 89  ATK 37  DEF 97  SPATK 95  SPDEF 76  SPEED 26 
TEDDIURSA Lvs 8-11       HP 84  ATK 72  DEF 36  SPATK 82  SPDEF 40  SPEED 15 
EXEGGCUTE Lvs 8-11       HP 37  ATK 53  DEF 86  SPATK 32  SPDEF 75  SPEED 42 
WALREIN Lvs 8-11         HP 63  ATK 101 DEF 78  SPATK 75  SPDEF 65  SPEED 149

Set #848 - Route 47 Headbutt (rate=1)
GROVYLE Lvs 23-24        HP 67  ATK 27  DEF 67  SPATK 93  SPDEF 51  SPEED 100
CACNEA Lvs 23-24         HP 33  ATK 91  DEF 45  SPATK 21  SPDEF 65  SPEED 80 
CACNEA Lvs 23-24         HP 33  ATK 91  DEF 45  SPATK 21  SPDEF 65  SPEED 80 
PSYDUCK Lvs 23-24        HP 27  ATK 126 DEF 75  SPATK 17  SPDEF 26  SPEED 49 
PSYDUCK Lvs 23-24        HP 27  ATK 126 DEF 75  SPATK 17  SPDEF 26  SPEED 49 
PSYDUCK Lvs 23-24        HP 27  ATK 126 DEF 75  SPATK 17  SPDEF 26  SPEED 49 
GROVYLE Lvs 26-27        HP 67  ATK 27  DEF 67  SPATK 93  SPDEF 51  SPEED 100
HITMONLEE Lvs 26-27      HP 34  ATK 137 DEF 96  SPATK 20  SPDEF 85  SPEED 83 
HITMONLEE Lvs 26-27      HP 34  ATK 137 DEF 96  SPATK 20  SPDEF 85  SPEED 83 
PSYDUCK Lvs 26-27        HP 27  ATK 126 DEF 75  SPATK 17  SPDEF 26  SPEED 49 
PSYDUCK Lvs 26-27        HP 27  ATK 126 DEF 75  SPATK 17  SPDEF 26  SPEED 49 
PSYDUCK Lvs 26-27        HP 27  ATK 126 DEF 75  SPATK 17  SPDEF 26  SPEED 49 
NUMEL Lvs 38-42          HP 72  ATK 54  DEF 13  SPATK 13  SPDEF 80  SPEED 74 
NOCTOWL Lvs 38-42        HP 97  ATK 46  DEF 39  SPATK 94  SPDEF 86  SPEED 80 
NOCTOWL Lvs 38-42        HP 97  ATK 46  DEF 39  SPATK 94  SPDEF 86  SPEED 80 
GALLADE Lvs 38-42        HP 103 ATK 60  DEF 37  SPATK 174 SPDEF 15  SPEED 128
GALLADE Lvs 38-42        HP 103 ATK 60  DEF 37  SPATK 174 SPDEF 15  SPEED 128
GALLADE Lvs 41-45        HP 103 ATK 60  DEF 37  SPATK 174 SPDEF 15  SPEED 128

Set #849 - Route 48 Headbutt (rate=1)
CHINGLING Lvs 23-24      HP 30  ATK 58  DEF 60  SPATK 53  SPDEF 70  SPEED 14 
CARVANHA Lvs 23-24       HP 78  ATK 20  DEF 40  SPATK 85  SPDEF 18  SPEED 62 
CARVANHA Lvs 23-24       HP 78  ATK 20  DEF 40  SPATK 85  SPDEF 18  SPEED 62 
UMBREON Lvs 23-24        HP 138 ATK 37  DEF 162 SPATK 104 SPDEF 38  SPEED 46 
UMBREON Lvs 23-24        HP 138 ATK 37  DEF 162 SPATK 104 SPDEF 38  SPEED 46 
UMBREON Lvs 23-24        HP 138 ATK 37  DEF 162 SPATK 104 SPDEF 38  SPEED 46 
CHINGLING Lvs 26-27      HP 30  ATK 58  DEF 60  SPATK 53  SPDEF 70  SPEED 14 
GALLADE Lvs 26-27        HP 103 ATK 60  DEF 37  SPATK 174 SPDEF 15  SPEED 128
GALLADE Lvs 26-27        HP 103 ATK 60  DEF 37  SPATK 174 SPDEF 15  SPEED 128
UMBREON Lvs 26-27        HP 138 ATK 37  DEF 162 SPATK 104 SPDEF 38  SPEED 46 
UMBREON Lvs 26-27        HP 138 ATK 37  DEF 162 SPATK 104 SPDEF 38  SPEED 46 
UMBREON Lvs 26-27        HP 138 ATK 37  DEF 162 SPATK 104 SPDEF 38  SPEED 46 

Set #850 - Safari Zone Gate Headbutt (rate=1)
MAMOSWINE Lvs 21-24      HP 171 ATK 92  DEF 72  SPATK 93  SPDEF 55  SPEED 46 
SCEPTILE Lvs 21-24       HP 48  ATK 102 DEF 186 SPATK 11  SPDEF 124 SPEED 59 
SCEPTILE Lvs 21-24       HP 48  ATK 102 DEF 186 SPATK 11  SPDEF 124 SPEED 59 
ARCANINE Lvs 21-24       HP 35  ATK 41  DEF 142 SPATK 111 SPDEF 108 SPEED 118
ARCANINE Lvs 21-24       HP 35  ATK 41  DEF 142 SPATK 111 SPDEF 108 SPEED 118
ARCANINE Lvs 21-24       HP 35  ATK 41  DEF 142 SPATK 111 SPDEF 108 SPEED 118
MAMOSWINE Lvs 26-29      HP 171 ATK 92  DEF 72  SPATK 93  SPDEF 55  SPEED 46 
FEEBAS Lvs 26-29         HP 45  ATK 25  DEF 32  SPATK 38  SPDEF 31  SPEED 29 
FEEBAS Lvs 26-29         HP 45  ATK 25  DEF 32  SPATK 38  SPDEF 31  SPEED 29 
ARCANINE Lvs 26-29       HP 35  ATK 41  DEF 142 SPATK 111 SPDEF 108 SPEED 118
ARCANINE Lvs 26-29       HP 35  ATK 41  DEF 142 SPATK 111 SPDEF 108 SPEED 118
ARCANINE Lvs 26-29       HP 35  ATK 41  DEF 142 SPATK 111 SPDEF 108 SPEED 118

Set #851 - Route 2 Headbutt (rate=1)
MANECTRIC Lvs 5-6        HP 143 ATK 110 DEF 45  SPATK 33  SPDEF 55  SPEED 89 
IGGLYBUFF Lvs 5-6        HP 41  ATK 38  DEF 47  SPATK 31  SPDEF 13  SPEED 41 
IGGLYBUFF Lvs 5-6        HP 41  ATK 38  DEF 47  SPATK 31  SPDEF 13  SPEED 41 
FURRET Lvs 5-6           HP 92  ATK 16  DEF 108 SPATK 88  SPDEF 44  SPEED 68 
FURRET Lvs 5-6           HP 92  ATK 16  DEF 108 SPATK 88  SPDEF 44  SPEED 68 
FURRET Lvs 5-6           HP 92  ATK 16  DEF 108 SPATK 88  SPDEF 44  SPEED 68 
MANECTRIC Lvs 8-11       HP 143 ATK 110 DEF 45  SPATK 33  SPDEF 55  SPEED 89 
BELLOSSOM Lvs 8-11       HP 98  ATK 42  DEF 123 SPATK 67  SPDEF 68  SPEED 82 
BELLOSSOM Lvs 8-11       HP 98  ATK 42  DEF 123 SPATK 67  SPDEF 68  SPEED 82 
FURRET Lvs 8-11          HP 92  ATK 16  DEF 108 SPATK 88  SPDEF 44  SPEED 68 
FURRET Lvs 8-11          HP 92  ATK 16  DEF 108 SPATK 88  SPDEF 44  SPEED 68 
FURRET Lvs 8-11          HP 92  ATK 16  DEF 108 SPATK 88  SPDEF 44  SPEED 68 

Set #852 - Route 16 Headbutt (rate=1)
PARAS Lvs 39-41          HP 57  ATK 14  DEF 73  SPATK 51  SPDEF 24  SPEED 67 
ILLUMISE Lvs 39-41       HP 106 ATK 48  DEF 34  SPATK 93  SPDEF 30  SPEED 89 
ILLUMISE Lvs 39-41       HP 106 ATK 48  DEF 34  SPATK 93  SPDEF 30  SPEED 89 
DUSKNOIR Lvs 39-41       HP 32  ATK 93  DEF 157 SPATK 41  SPDEF 59  SPEED 142
DUSKNOIR Lvs 39-41       HP 32  ATK 93  DEF 157 SPATK 41  SPDEF 59  SPEED 142
DUSKNOIR Lvs 39-41       HP 32  ATK 93  DEF 157 SPATK 41  SPDEF 59  SPEED 142
PARAS Lvs 44-45          HP 57  ATK 14  DEF 73  SPATK 51  SPDEF 24  SPEED 67 
PARAS Lvs 44-45          HP 57  ATK 14  DEF 73  SPATK 51  SPDEF 24  SPEED 67 
PARAS Lvs 44-45          HP 57  ATK 14  DEF 73  SPATK 51  SPDEF 24  SPEED 67 
DUSKNOIR Lvs 44-45       HP 32  ATK 93  DEF 157 SPATK 41  SPDEF 59  SPEED 142
DUSKNOIR Lvs 44-45       HP 32  ATK 93  DEF 157 SPATK 41  SPDEF 59  SPEED 142
DUSKNOIR Lvs 44-45       HP 32  ATK 93  DEF 157 SPATK 41  SPDEF 59  SPEED 142

Set #853 - Mt. Silver Cave Headbutt (rate=1)
NIDOQUEEN Lvs 63-66      HP 151 ATK 17  DEF 72  SPATK 117 SPDEF 120 SPEED 18 
PORYGON Lvs 63-66        HP 27  ATK 36  DEF 136 SPATK 57  SPDEF 70  SPEED 70 
PORYGON Lvs 63-66        HP 27  ATK 36  DEF 136 SPATK 57  SPDEF 70  SPEED 70 
SHARPEDO Lvs 63-66       HP 113 ATK 31  DEF 113 SPATK 99  SPDEF 58  SPEED 46 
SHARPEDO Lvs 63-66       HP 113 ATK 31  DEF 113 SPATK 99  SPDEF 58  SPEED 46 
SHARPEDO Lvs 63-66       HP 113 ATK 31  DEF 113 SPATK 99  SPDEF 58  SPEED 46 
NIDOQUEEN Lvs 68-72      HP 151 ATK 17  DEF 72  SPATK 117 SPDEF 120 SPEED 18 
PORYGON Lvs 68-72        HP 27  ATK 36  DEF 136 SPATK 57  SPDEF 70  SPEED 70 
PORYGON Lvs 68-72        HP 27  ATK 36  DEF 136 SPATK 57  SPDEF 70  SPEED 70 
SHARPEDO Lvs 68-72       HP 113 ATK 31  DEF 113 SPATK 99  SPDEF 58  SPEED 46 
SHARPEDO Lvs 68-72       HP 113 ATK 31  DEF 113 SPATK 99  SPDEF 58  SPEED 46 
SHARPEDO Lvs 68-72       HP 113 ATK 31  DEF 113 SPATK 99  SPDEF 58  SPEED 46 

Set #854 - Bug Catching Contest (Pre-National Dex) (rate=1)
LOPUNNY Lvs 11-27        HP 34  ATK 137 DEF 91  SPATK 39  SPDEF 122 SPEED 57 
MILTANK Lvs 11-27        HP 102 ATK 45  DEF 95  SPATK 37  SPDEF 94  SPEED 117
PRIMEAPE Lvs 14-27       HP 65  ATK 61  DEF 50  SPATK 72  SPDEF 126 SPEED 81 
SOLROCK Lvs 14-27        HP 80  ATK 105 DEF 54  SPATK 35  SPDEF 58  SPEED 108
CACNEA Lvs 18-23         HP 33  ATK 91  DEF 45  SPATK 21  SPDEF 65  SPEED 80 
SNUBBULL Lvs 18-23       HP 53  ATK 58  DEF 61  SPATK 41  SPDEF 40  SPEED 48 
STUNKY Lvs 15-24         HP 89  ATK 64  DEF 61  SPATK 23  SPDEF 66  SPEED 25 
CHIMCHAR Lvs 15-26       HP 85  ATK 31  DEF 58  SPATK 44  SPDEF 43  SPEED 48 
LICKILICKY Lvs 20-21     HP 64  ATK 119 DEF 84  SPATK 75  SPDEF 98  SPEED 76 
EEVEE Lvs 20-21          HP 44  ATK 130 DEF 32  SPATK 75  SPDEF 26  SPEED 18 

Set #855 - Bug Catching Contest (Post-National Dex, Tuesdays) (rate=1)
TOGETIC Lvs 36-54        HP 80  ATK 90  DEF 88  SPATK 78  SPDEF 36  SPEED 33 
ONIX Lvs 36-54           HP 101 ATK 80  DEF 18  SPATK 42  SPDEF 39  SPEED 105
MAGMORTAR Lvs 39-54      HP 113 ATK 37  DEF 22  SPATK 84  SPDEF 75  SPEED 209
METANG Lvs 39-54         HP 121 ATK 23  DEF 43  SPATK 78  SPDEF 107 SPEED 47 
VENUSAUR Lvs 41-45       HP 69  ATK 115 DEF 40  SPATK 135 SPDEF 136 SPEED 32 
MAREEP Lvs 41-45         HP 45  ATK 51  DEF 55  SPATK 55  SPDEF 11  SPEED 64 
QUAGSIRE Lvs 38-48       HP 24  ATK 99  DEF 159 SPATK 67  SPDEF 37  SPEED 45 
CORSOLA Lvs 41-51        HP 48  ATK 101 DEF 111 SPATK 27  SPDEF 81  SPEED 12 
SUNKERN Lvs 41-42        HP 50  ATK 27  DEF 28  SPATK 21  SPDEF 34  SPEED 20 
LOTAD Lvs 41-42          HP 64  ATK 13  DEF 56  SPATK 29  SPDEF 46  SPEED 13 

Set #856 - Bug Catching Contest (Post-National Dex, Thursdays) (rate=1)
SPEAROW Lvs 36-54        HP 34  ATK 12  DEF 41  SPATK 68  SPDEF 80  SPEED 27 
KABUTOPS Lvs 36-54       HP 29  ATK 112 DEF 103 SPATK 95  SPDEF 84  SPEED 72 
POLIWAG Lvs 39-54        HP 26  ATK 63  DEF 52  SPATK 51  SPDEF 44  SPEED 64 
ONIX Lvs 39-54           HP 101 ATK 80  DEF 18  SPATK 42  SPDEF 39  SPEED 105
PURUGLY Lvs 41-45        HP 37  ATK 43  DEF 79  SPATK 121 SPDEF 68  SPEED 103
LEDYBA Lvs 41-45         HP 85  ATK 15  DEF 20  SPATK 26  SPDEF 65  SPEED 54 
SEALEO Lvs 38-48         HP 22  ATK 27  DEF 70  SPATK 165 SPDEF 35  SPEED 92 
SPINARAK Lvs 41-51       HP 45  ATK 38  DEF 58  SPATK 62  SPDEF 12  SPEED 34 
SPINDA Lvs 41-42         HP 112 ATK 114 DEF 16  SPATK 45  SPDEF 62  SPEED 12 
KINGLER Lvs 41-42        HP 119 ATK 103 DEF 116 SPATK 53  SPDEF 16  SPEED 68 

Set #857 - Bug Catching Contest (Post-National Dex, Saturdays) (rate=1)
DODUO Lvs 36-54          HP 33  ATK 85  DEF 77  SPATK 66  SPDEF 31  SPEED 18 
GOLDEEN Lvs 36-54        HP 61  ATK 56  DEF 86  SPATK 56  SPDEF 37  SPEED 24 
SLAKING Lvs 39-54        HP 192 ATK 91  DEF 155 SPATK 118 SPDEF 51  SPEED 63 
WORMADAM Lvs 39-54       HP 92  ATK 61  DEF 47  SPATK 67  SPDEF 89  SPEED 68 
LOMBRE Lvs 41-45         HP 39  ATK 27  DEF 25  SPATK 82  SPDEF 98  SPEED 69 
VIBRAVA Lvs 41-45        HP 63  ATK 53  DEF 42  SPATK 65  SPDEF 35  SPEED 83 
PINECO Lvs 38-48         HP 94  ATK 16  DEF 19  SPATK 85  SPDEF 11  SPEED 64 
BRONZOR Lvs 41-51        HP 76  ATK 34  DEF 36  SPATK 30  SPDEF 52  SPEED 73 
SHIFTRY Lvs 41-42        HP 98  ATK 95  DEF 73  SPATK 33  SPDEF 94  SPEED 87 
FLYGON Lvs 41-42         HP 41  ATK 112 DEF 58  SPATK 43  SPDEF 185 SPEED 81 


--TM Moves--
TM01 Reflect
TM02 Faint Attack
TM03 Shock Wave
TM04 Rock Throw
TM05 Icicle Spear
TM06 Air Slash
TM07 Lovely Kiss
TM08 Fury Attack
TM09 Shadow Punch
TM10 Seismic Toss
TM11 Fire Punch
TM12 Poison Tail
TM13 Hyper Beam
TM14 Amnesia
TM15 Fake Tears
TM16 Slam
TM17 Arm Thrust
TM18 Weather Ball
TM19 Last Resort
TM20 Heal Order
TM21 Tickle
TM22 DragonBreath
TM23 Power Swap
TM24 Knock Off
TM25 Water Sport
TM26 Judgment
TM27 Splash
TM28 Sky Uppercut
TM29 Wrap
TM30 Metal Claw
TM31 Spacial Rend
TM32 Role Play
TM33 Quick Attack
TM34 Dream Eater
TM35 Bullet Punch
TM36 Sludge Bomb
TM37 SolarBeam
TM38 Cotton Spore
TM39 Curse
TM40 Hyper Fang
TM41 Comet Punch
TM42 Natural Gift
TM43 Super Fang
TM44 Fire Spin
TM45 Thunderbolt
TM46 Psycho Shift
TM47 DynamicPunch
TM48 Synthesis
TM49 Sweet Scent
TM50 Earthquake
TM51 Perish Song
TM52 Wish
TM53 Assurance
TM54 Teleport
TM55 Switcheroo
TM56 Giga Impact
TM57 Magma Storm
TM58 Rollout
TM59 False Swipe
TM60 Thunder Fang
TM61 Feint
TM62 Bubble
TM63 Mud Sport
TM64 Muddy Water
TM65 Charge Beam
TM66 Tailwind
TM67 Mirror Coat
TM68 Light Screen
TM69 Dig
TM70 Whirlwind
TM71 Discharge
TM72 Vine Whip
TM73 Body Slam
TM74 Bounce
TM75 Foresight
TM76 Magical Leaf
TM77 Charm
TM78 Absorb
TM79 AncientPower
TM80 Mach Punch
TM81 Mirror Shot
TM82 Supersonic
TM83 Twineedle
TM84 Snore
TM85 Steel Wing
TM86 Drill Peck
TM87 Miracle Eye
TM88 Defense Curl
TM89 Draco Meteor
TM90 Lunar Dance
TM91 Bug Buzz
TM92 Tri Attack

--TM Compatibility--
  1 BULBASAUR     |TM01 Reflect |                - |              - |TM04 Rock Throw |TM05 Icicle Spear |             - |TM07 Lovely Kiss |               - |TM09 Shadow Punch |TM10 Seismic Toss |TM11 Fire Punch |               - |TM13 Hyper Beam |TM14 Amnesia |              - |        - |              - |TM18 Weather Ball |               - |              - |          - |TM22 DragonBreath |              - |TM24 Knock Off |               - |TM26 Judgment |          - |TM28 Sky Uppercut |        - |              - |TM31 Spacial Rend |             - |                - |TM34 Dream Eater |                - |TM36 Sludge Bomb |             - |                - |         - |              - |               - |                - |              - |TM44 Fire Spin |               - |                - |                - |TM48 Synthesis |TM49 Sweet Scent |TM50 Earthquake |               - |        - |TM53 Assurance |            - |              - |TM56 Giga Impact |TM57 Magma Storm |           - |TM59 False Swipe |TM60 Thunder Fang |         - |          - |             - |               - |               - |TM66 Tailwind |TM67 Mirror Coat |TM68 Light Screen |TM69 Dig |             - |             - |             - |             - |          - |TM75 Foresight |                - |TM77 Charm |          - |                - |TM80 Mach Punch |               - |              - |             - |TM84 Snore |TM85 Steel Wing |TM86 Drill Peck |               - |TM88 Defense Curl |                - |               - |TM91 Bug Buzz |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
  2 IVYSAUR       |           - |TM02 Faint Attack |TM03 Shock Wave |TM04 Rock Throw |                - |TM06 Air Slash |               - |TM08 Fury Attack |TM09 Shadow Punch |                - |TM11 Fire Punch |TM12 Poison Tail |TM13 Hyper Beam |TM14 Amnesia |TM15 Fake Tears |        - |TM17 Arm Thrust |                - |               - |              - |TM21 Tickle |TM22 DragonBreath |TM23 Power Swap |TM24 Knock Off |TM25 Water Sport |            - |          - |TM28 Sky Uppercut |TM29 Wrap |TM30 Metal Claw |                - |             - |                - |TM34 Dream Eater |                - |TM36 Sludge Bomb |             - |                - |         - |              - |               - |TM42 Natural Gift |              - |TM44 Fire Spin |TM45 Thunderbolt |TM46 Psycho Shift |                - |             - |               - |TM50 Earthquake |               - |TM52 Wish |             - |TM54 Teleport |              - |TM56 Giga Impact |               - |           - |               - |                - |         - |TM62 Bubble |             - |TM64 Muddy Water |               - |TM66 Tailwind |               - |                - |       - |TM70 Whirlwind |TM71 Discharge |             - |TM73 Body Slam |TM74 Bounce |             - |TM76 Magical Leaf |         - |TM78 Absorb |TM79 AncientPower |TM80 Mach Punch |               - |              - |TM83 Twineedle |         - |TM85 Steel Wing |TM86 Drill Peck |TM87 Miracle Eye |                - |                - |TM90 Lunar Dance |            - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
