Randomizer Version: 4.5.1-HAL
Random Seed: 267551420360210
Settings String: 320WRECAgKXAJoAnQCRAAKjJGkECQEACQACCQASEgAAAAAADAiI5AHkRAAICTIGBQLKAHEAFlBva2Vtb24gU291bFNpbHZlciAoVSnkkKFMusobtQ==

--Randomized Evolutions--
BULBASAUR       -> CRESSELIA      
244 ENTEI         |              - |TM02 AncientPower |TM03 Absorb |               - |TM05 Double Hit |              - |           - |                - |TM09 Leech Life |TM10 Poison Fang |         - |TM12 Aura Sphere |TM13 Recover |TM14 Meteor Mash |TM15 Doom Desire |TM16 Close Combat |                - |         - |TM19 Natural Gift |TM20 Meditate |                - |TM22 Sing |                - |TM24 Assurance |             - |TM26 Return |             - |TM28 Razor Wind |TM29 Water Sport |              - |TM31 Psycho Boost |TM32 Signal Beam |              - |              - |TM35 Acid |             - |                - |            - |                - |                - |TM41 Outrage |TM42 Wring Out |                - |              - |TM45 Mirror Move |             - |TM47 Mind Reader |                - |TM49 Odor Sleuth |TM50 Bonemerang |            - |TM52 Horn Drill |               - |TM54 Mist |             - |TM56 Cosmic Power |TM57 Growth |             - |                - |TM60 Needle Arm |TM61 Rock Polish |         - |TM63 BubbleBeam |TM64 Lick |             - |            - |               - |             - |              - |              - |               - |             - |         - |              - |              - |              - |TM77 Teleport |TM78 Hammer Arm |TM79 Lucky Chant |               - |TM81 ViceGrip |TM82 Focus Blast |TM83 Charge |TM84 Bounce |TM85 Worry Seed |TM86 Submission |              - |          - |             - |                - |TM91 Ice Beam |TM92 Skill Swap |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
245 SUICUNE       |TM01 Earthquake |                - |TM03 Absorb |               - |TM05 Double Hit |TM06 Metal Claw |TM07 Gravity |                - |TM09 Leech Life |TM10 Poison Fang |TM11 Block |               - |           - |TM14 Meteor Mash |               - |TM16 Close Combat |TM17 Light Screen |TM18 Stomp |TM19 Natural Gift |            - |TM21 Luster Purge |        - |                - |             - |             - |TM26 Return |             - |TM28 Razor Wind |               - |              - |TM31 Psycho Boost |TM32 Signal Beam |              - |TM34 Fire Punch |        - |TM36 Knock Off |TM37 ThunderPunch |            - |                - |                - |           - |             - |TM43 Attack Order |TM44 Superpower |TM45 Mirror Move |             - |TM47 Mind Reader |                - |TM49 Odor Sleuth |              - |TM51 Overheat |              - |               - |TM54 Mist |             - |TM56 Cosmic Power |TM57 Growth |             - |                - |TM60 Needle Arm |               - |         - |              - |TM64 Lick |             - |TM66 Ice Fang |TM67 String Shot |TM68 Constrict |              - |TM70 Crush Claw |               - |TM72 X-Scissor |         - |TM74 Baton Pass |              - |TM76 Dark Pulse |TM77 Teleport |TM78 Hammer Arm |TM79 Lucky Chant |               - |            - |               - |          - |TM84 Bounce |TM85 Worry Seed |              - |              - |          - |             - |                - |TM91 Ice Beam |TM92 Skill Swap |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
246 LARVITAR      |TM01 Earthquake |                - |          - |               - |              - |              - |           - |                - |              - |TM10 Poison Fang |         - |TM12 Aura Sphere |           - |TM14 Meteor Mash |               - |TM16 Close Combat |                - |         - |                - |            - |                - |TM22 Sing |                - |             - |             - |          - |TM27 Ice Punch |TM28 Razor Wind |TM29 Water Sport |              - |                - |TM32 Signal Beam |              - |TM34 Fire Punch |TM35 Acid |             - |TM37 ThunderPunch |TM38 Eruption |                - |                - |TM41 Outrage |TM42 Wring Out |                - |TM44 Superpower |TM45 Mirror Move |             - |               - |                - |TM49 Odor Sleuth |TM50 Bonemerang |            - |              - |TM53 Power Trick |TM54 Mist |TM55 Aeroblast |                - |TM57 Growth |TM58 Seed Bomb |TM59 Future Sight |TM60 Needle Arm |TM61 Rock Polish |         - |              - |TM64 Lick |TM65 Fire Spin |            - |               - |             - |              - |TM70 Crush Claw |TM71 Hyper Voice |TM72 X-Scissor |         - |              - |              - |              - |TM77 Teleport |              - |TM79 Lucky Chant |               - |            - |TM82 Focus Blast |          - |TM84 Bounce |TM85 Worry Seed |              - |TM87 Air Cutter |TM88 Tickle |TM89 SolarBeam |                - |            - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
247 PUPITAR       |              - |TM02 AncientPower |TM03 Absorb |               - |TM05 Double Hit |TM06 Metal Claw |TM07 Gravity |TM08 Stealth Rock |TM09 Leech Life |               - |TM11 Block |TM12 Aura Sphere |           - |TM14 Meteor Mash |               - |TM16 Close Combat |TM17 Light Screen |TM18 Stomp |                - |            - |TM21 Luster Purge |TM22 Sing |                - |TM24 Assurance |TM25 Captivate |          - |TM27 Ice Punch |              - |               - |TM30 Hyper Beam |                - |               - |TM33 Heart Swap |TM34 Fire Punch |TM35 Acid |             - |                - |TM38 Eruption |                - |                - |TM41 Outrage |TM42 Wring Out |                - |TM44 Superpower |TM45 Mirror Move |             - |TM47 Mind Reader |TM48 Spike Cannon |               - |              - |TM51 Overheat |              - |TM53 Power Trick |        - |             - |                - |          - |             - |TM59 Future Sight |TM60 Needle Arm |               - |         - |              - |TM64 Lick |TM65 Fire Spin |            - |TM67 String Shot |TM68 Constrict |TM69 Super Fang |TM70 Crush Claw |TM71 Hyper Voice |TM72 X-Scissor |TM73 Growl |TM74 Baton Pass |TM75 Rapid Spin |              - |            - |              - |TM79 Lucky Chant |TM80 Pin Missile |TM81 ViceGrip |TM82 Focus Blast |TM83 Charge |TM84 Bounce |              - |TM86 Submission |TM87 Air Cutter |TM88 Tickle |             - |                - |TM91 Ice Beam |TM92 Skill Swap |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
248 TYRANITAR     |TM01 Earthquake |TM02 AncientPower |          - |               - |              - |              - |           - |                - |              - |               - |TM11 Block |               - |           - |               - |TM15 Doom Desire |TM16 Close Combat |                - |         - |                - |            - |TM21 Luster Purge |TM22 Sing |                - |TM24 Assurance |             - |          - |TM27 Ice Punch |TM28 Razor Wind |               - |              - |                - |               - |              - |TM34 Fire Punch |TM35 Acid |TM36 Knock Off |TM37 ThunderPunch |TM38 Eruption |TM39 Dragon Pulse |                - |TM41 Outrage |TM42 Wring Out |TM43 Attack Order |TM44 Superpower |TM45 Mirror Move |TM46 Power Gem |               - |TM48 Spike Cannon |TM49 Odor Sleuth |TM50 Bonemerang |TM51 Overheat |TM52 Horn Drill |               - |        - |TM55 Aeroblast |TM56 Cosmic Power |TM57 Growth |TM58 Seed Bomb |                - |              - |TM61 Rock Polish |TM62 Fling |              - |TM64 Lick |             - |            - |               - |TM68 Constrict |TM69 Super Fang |TM70 Crush Claw |TM71 Hyper Voice |TM72 X-Scissor |TM73 Growl |TM74 Baton Pass |              - |              - |TM77 Teleport |TM78 Hammer Arm |               - |               - |TM81 ViceGrip |TM82 Focus Blast |TM83 Charge |          - |TM85 Worry Seed |              - |TM87 Air Cutter |          - |             - |                - |TM91 Ice Beam |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
249 LUGIA         |              - |TM02 AncientPower |TM03 Absorb |               - |              - |TM06 Metal Claw |TM07 Gravity |                - |TM09 Leech Life |               - |TM11 Block |TM12 Aura Sphere |TM13 Recover |               - |TM15 Doom Desire |                - |                - |TM18 Stomp |TM19 Natural Gift |TM20 Meditate |                - |        - |TM23 Ominous Wind |             - |             - |          - |             - |              - |               - |TM30 Hyper Beam |                - |               - |              - |              - |        - |             - |                - |TM38 Eruption |                - |                - |           - |TM42 Wring Out |                - |TM44 Superpower |TM45 Mirror Move |             - |               - |TM48 Spike Cannon |               - |              - |TM51 Overheat |TM52 Horn Drill |               - |        - |             - |                - |          - |             - |TM59 Future Sight |              - |TM61 Rock Polish |         - |              - |        - |TM65 Fire Spin |TM66 Ice Fang |TM67 String Shot |             - |              - |              - |TM71 Hyper Voice |             - |TM73 Growl |TM74 Baton Pass |              - |TM76 Dark Pulse |            - |              - |TM79 Lucky Chant |               - |            - |               - |TM83 Charge |TM84 Bounce |              - |TM86 Submission |TM87 Air Cutter |TM88 Tickle |             - |TM90 Selfdestruct |TM91 Ice Beam |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
250 HO-OH         |              - |TM02 AncientPower |TM03 Absorb |               - |              - |TM06 Metal Claw |           - |                - |              - |TM10 Poison Fang |TM11 Block |TM12 Aura Sphere |           - |TM14 Meteor Mash |TM15 Doom Desire |                - |                - |TM18 Stomp |TM19 Natural Gift |TM20 Meditate |                - |TM22 Sing |                - |TM24 Assurance |             - |TM26 Return |             - |              - |TM29 Water Sport |              - |TM31 Psycho Boost |TM32 Signal Beam |TM33 Heart Swap |              - |        - |TM36 Knock Off |TM37 ThunderPunch |            - |TM39 Dragon Pulse |                - |           - |TM42 Wring Out |                - |TM44 Superpower |TM45 Mirror Move |TM46 Power Gem |TM47 Mind Reader |TM48 Spike Cannon |TM49 Odor Sleuth |              - |TM51 Overheat |TM52 Horn Drill |               - |        - |             - |TM56 Cosmic Power |TM57 Growth |             - |                - |              - |               - |TM62 Fling |TM63 BubbleBeam |        - |TM65 Fire Spin |            - |TM67 String Shot |TM68 Constrict |TM69 Super Fang |TM70 Crush Claw |               - |TM72 X-Scissor |TM73 Growl |              - |              - |              - |TM77 Teleport |TM78 Hammer Arm |               - |TM80 Pin Missile |TM81 ViceGrip |               - |          - |          - |              - |TM86 Submission |TM87 Air Cutter |          - |             - |                - |            - |TM92 Skill Swap |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
251 CELEBI        |TM01 Earthquake |                - |TM03 Absorb |TM04 Night Slash |              - |TM06 Metal Claw |TM07 Gravity |                - |              - |               - |TM11 Block |TM12 Aura Sphere |TM13 Recover |TM14 Meteor Mash |               - |                - |                - |         - |TM19 Natural Gift |TM20 Meditate |                - |        - |TM23 Ominous Wind |             - |TM25 Captivate |TM26 Return |             - |TM28 Razor Wind |TM29 Water Sport |              - |TM31 Psycho Boost |               - |TM33 Heart Swap |              - |TM35 Acid |TM36 Knock Off |                - |            - |TM39 Dragon Pulse |                - |           - |TM42 Wring Out |TM43 Attack Order |TM44 Superpower |TM45 Mirror Move |TM46 Power Gem |TM47 Mind Reader |TM48 Spike Cannon |               - |              - |TM51 Overheat |              - |               - |TM54 Mist |             - |                - |TM57 Growth |             - |                - |TM60 Needle Arm |               - |TM62 Fling |TM63 BubbleBeam |TM64 Lick |             - |TM66 Ice Fang |               - |TM68 Constrict |TM69 Super Fang |TM70 Crush Claw |               - |TM72 X-Scissor |TM73 Growl |              - |              - |TM76 Dark Pulse |TM77 Teleport |TM78 Hammer Arm |TM79 Lucky Chant |TM80 Pin Missile |            - |TM82 Focus Blast |          - |TM84 Bounce |TM85 Worry Seed |              - |TM87 Air Cutter |TM88 Tickle |TM89 SolarBeam |TM90 Selfdestruct |            - |TM92 Skill Swap |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
252 TREECKO       |TM01 Earthquake |TM02 AncientPower |          - |TM04 Night Slash |TM05 Double Hit |              - |           - |TM08 Stealth Rock |              - |TM10 Poison Fang |         - |TM12 Aura Sphere |TM13 Recover |               - |TM15 Doom Desire |TM16 Close Combat |TM17 Light Screen |         - |                - |            - |                - |TM22 Sing |                - |             - |             - |TM26 Return |TM27 Ice Punch |              - |TM29 Water Sport |              - |TM31 Psycho Boost |               - |              - |TM34 Fire Punch |TM35 Acid |TM36 Knock Off |                - |            - |                - |                - |           - |             - |                - |              - |               - |TM46 Power Gem |               - |TM48 Spike Cannon |TM49 Odor Sleuth |TM50 Bonemerang |            - |TM52 Horn Drill |TM53 Power Trick |        - |             - |TM56 Cosmic Power |TM57 Growth |             - |                - |              - |               - |TM62 Fling |TM63 BubbleBeam |TM64 Lick |TM65 Fire Spin |            - |TM67 String Shot |             - |TM69 Super Fang |              - |               - |             - |TM73 Growl |TM74 Baton Pass |              - |TM76 Dark Pulse |TM77 Teleport |TM78 Hammer Arm |               - |TM80 Pin Missile |TM81 ViceGrip |               - |          - |          - |TM85 Worry Seed |              - |TM87 Air Cutter |TM88 Tickle |             - |TM90 Selfdestruct |            - |TM92 Skill Swap |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
253 GROVYLE       |TM01 Earthquake |TM02 AncientPower |TM03 Absorb |TM04 Night Slash |              - |              - |           - |                - |              - |TM10 Poison Fang |TM11 Block |TM12 Aura Sphere |           - |TM14 Meteor Mash |TM15 Doom Desire |TM16 Close Combat |TM17 Light Screen |         - |TM19 Natural Gift |            - |                - |        - |TM23 Ominous Wind |TM24 Assurance |TM25 Captivate |          - |TM27 Ice Punch |              - |TM29 Water Sport |              - |TM31 Psycho Boost |TM32 Signal Beam |TM33 Heart Swap |              - |TM35 Acid |TM36 Knock Off |                - |            - |                - |                - |           - |             - |TM43 Attack Order |              - |               - |TM46 Power Gem |               - |                - |               - |              - |TM51 Overheat |TM52 Horn Drill |               - |TM54 Mist |TM55 Aeroblast |TM56 Cosmic Power |          - |             - |                - |TM60 Needle Arm |               - |         - |              - |        - |TM65 Fire Spin |            - |               - |TM68 Constrict |              - |              - |TM71 Hyper Voice |TM72 X-Scissor |         - |              - |              - |TM76 Dark Pulse |TM77 Teleport |TM78 Hammer Arm |               - |               - |TM81 ViceGrip |               - |          - |TM84 Bounce |              - |              - |TM87 Air Cutter |          - |TM89 SolarBeam |                - |            - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
254 SCEPTILE      |              - |TM02 AncientPower |          - |               - |TM05 Double Hit |TM06 Metal Claw |           - |TM08 Stealth Rock |TM09 Leech Life |TM10 Poison Fang |         - |               - |TM13 Recover |TM14 Meteor Mash |TM15 Doom Desire |                - |                - |         - |TM19 Natural Gift |TM20 Meditate |                - |        - |                - |TM24 Assurance |TM25 Captivate |TM26 Return |             - |              - |TM29 Water Sport |              - |TM31 Psycho Boost |TM32 Signal Beam |TM33 Heart Swap |              - |        - |TM36 Knock Off |TM37 ThunderPunch |TM38 Eruption |                - |                - |TM41 Outrage |             - |                - |              - |TM45 Mirror Move |             - |               - |TM48 Spike Cannon |               - |              - |TM51 Overheat |TM52 Horn Drill |TM53 Power Trick |TM54 Mist |TM55 Aeroblast |                - |          - |TM58 Seed Bomb |                - |TM60 Needle Arm |TM61 Rock Polish |TM62 Fling |TM63 BubbleBeam |TM64 Lick |             - |            - |TM67 String Shot |TM68 Constrict |TM69 Super Fang |TM70 Crush Claw |TM71 Hyper Voice |TM72 X-Scissor |         - |              - |TM75 Rapid Spin |TM76 Dark Pulse |            - |TM78 Hammer Arm |               - |TM80 Pin Missile |TM81 ViceGrip |               - |          - |TM84 Bounce |              - |              - |TM87 Air Cutter |          - |TM89 SolarBeam |TM90 Selfdestruct |            - |TM92 Skill Swap |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
255 TORCHIC       |              - |TM02 AncientPower |TM03 Absorb |               - |TM05 Double Hit |TM06 Metal Claw |TM07 Gravity |TM08 Stealth Rock |              - |               - |TM11 Block |               - |TM13 Recover |               - |               - |                - |                - |         - |                - |TM20 Meditate |TM21 Luster Purge |        - |                - |             - |TM25 Captivate |TM26 Return |             - |              - |               - |TM30 Hyper Beam |                - |TM32 Signal Beam |TM33 Heart Swap |              - |TM35 Acid |             - |                - |TM38 Eruption |TM39 Dragon Pulse |TM40 Rock Wrecker |           - |TM42 Wring Out |                - |TM44 Superpower |TM45 Mirror Move |             - |TM47 Mind Reader |                - |               - |              - |            - |TM52 Horn Drill |TM53 Power Trick |        - |TM55 Aeroblast |TM56 Cosmic Power |TM57 Growth |             - |                - |              - |               - |         - |              - |        - |             - |            - |               - |             - |TM69 Super Fang |TM70 Crush Claw |               - |TM72 X-Scissor |TM73 Growl |              - |              - |              - |            - |              - |               - |TM80 Pin Missile |            - |               - |          - |          - |TM85 Worry Seed |TM86 Submission |TM87 Air Cutter |          - |TM89 SolarBeam |                - |            - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
256 COMBUSKEN     |TM01 Earthquake |                - |TM03 Absorb |               - |              - |TM06 Metal Claw |TM07 Gravity |                - |              - |TM10 Poison Fang |TM11 Block |TM12 Aura Sphere |           - |               - |               - |                - |                - |         - |                - |            - |TM21 Luster Purge |        - |TM23 Ominous Wind |             - |TM25 Captivate |          - |             - |              - |               - |TM30 Hyper Beam |                - |               - |              - |TM34 Fire Punch |        - |             - |TM37 ThunderPunch |            - |TM39 Dragon Pulse |                - |TM41 Outrage |             - |                - |              - |TM45 Mirror Move |TM46 Power Gem |TM47 Mind Reader |                - |TM49 Odor Sleuth |TM50 Bonemerang |            - |TM52 Horn Drill |               - |TM54 Mist |             - |                - |          - |             - |TM59 Future Sight |TM60 Needle Arm |               - |         - |              - |        - |TM65 Fire Spin |            - |TM67 String Shot |TM68 Constrict |              - |TM70 Crush Claw |TM71 Hyper Voice |             - |         - |              - |              - |              - |            - |              - |TM79 Lucky Chant |               - |TM81 ViceGrip |TM82 Focus Blast |          - |          - |TM85 Worry Seed |TM86 Submission |TM87 Air Cutter |TM88 Tickle |TM89 SolarBeam |TM90 Selfdestruct |TM91 Ice Beam |TM92 Skill Swap |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
257 BLAZIKEN      |TM01 Earthquake |TM02 AncientPower |          - |TM04 Night Slash |TM05 Double Hit |TM06 Metal Claw |           - |                - |              - |TM10 Poison Fang |         - |TM12 Aura Sphere |           - |               - |TM15 Doom Desire |                - |TM17 Light Screen |         - |                - |            - |                - |TM22 Sing |TM23 Ominous Wind |TM24 Assurance |             - |TM26 Return |TM27 Ice Punch |TM28 Razor Wind |TM29 Water Sport |TM30 Hyper Beam |                - |               - |              - |TM34 Fire Punch |TM35 Acid |             - |                - |TM38 Eruption |TM39 Dragon Pulse |                - |TM41 Outrage |TM42 Wring Out |                - |              - |               - |             - |               - |TM48 Spike Cannon |               - |              - |            - |TM52 Horn Drill |               - |        - |TM55 Aeroblast |TM56 Cosmic Power |TM57 Growth |TM58 Seed Bomb |                - |              - |               - |TM62 Fling |TM63 BubbleBeam |        - |TM65 Fire Spin |TM66 Ice Fang |TM67 String Shot |             - |              - |TM70 Crush Claw |TM71 Hyper Voice |TM72 X-Scissor |TM73 Growl |              - |TM75 Rapid Spin |              - |            - |              - |TM79 Lucky Chant |TM80 Pin Missile |TM81 ViceGrip |TM82 Focus Blast |          - |TM84 Bounce |              - |              - |              - |TM88 Tickle |TM89 SolarBeam |TM90 Selfdestruct |            - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
258 MUDKIP        |              - |                - |TM03 Absorb |TM04 Night Slash |TM05 Double Hit |TM06 Metal Claw |           - |                - |TM09 Leech Life |TM10 Poison Fang |         - |               - |TM13 Recover |TM14 Meteor Mash |TM15 Doom Desire |                - |                - |         - |TM19 Natural Gift |            - |TM21 Luster Purge |        - |TM23 Ominous Wind |TM24 Assurance |TM25 Captivate |TM26 Return |             - |TM28 Razor Wind |TM29 Water Sport |TM30 Hyper Beam |                - |TM32 Signal Beam |              - |              - |TM35 Acid |TM36 Knock Off |TM37 ThunderPunch |TM38 Eruption |TM39 Dragon Pulse |                - |TM41 Outrage |             - |                - |TM44 Superpower |               - |             - |TM47 Mind Reader |                - |TM49 Odor Sleuth |              - |            - |TM52 Horn Drill |TM53 Power Trick |        - |TM55 Aeroblast |TM56 Cosmic Power |          - |             - |TM59 Future Sight |              - |TM61 Rock Polish |         - |              - |TM64 Lick |             - |            - |               - |             - |TM69 Super Fang |TM70 Crush Claw |               - |TM72 X-Scissor |         - |              - |              - |              - |TM77 Teleport |              - |TM79 Lucky Chant |               - |TM81 ViceGrip |TM82 Focus Blast |TM83 Charge |          - |TM85 Worry Seed |              - |TM87 Air Cutter |          - |             - |TM90 Selfdestruct |            - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
259 MARSHTOMP     |              - |TM02 AncientPower |          - |TM04 Night Slash |TM05 Double Hit |TM06 Metal Claw |TM07 Gravity |                - |              - |TM10 Poison Fang |TM11 Block |TM12 Aura Sphere |           - |               - |TM15 Doom Desire |TM16 Close Combat |                - |         - |TM19 Natural Gift |TM20 Meditate |TM21 Luster Purge |TM22 Sing |                - |             - |             - |          - |             - |TM28 Razor Wind |TM29 Water Sport |TM30 Hyper Beam |TM31 Psycho Boost |               - |TM33 Heart Swap |              - |        - |             - |TM37 ThunderPunch |            - |                - |TM40 Rock Wrecker |TM41 Outrage |             - |                - |              - |               - |TM46 Power Gem |               - |TM48 Spike Cannon |               - |TM50 Bonemerang |TM51 Overheat |TM52 Horn Drill |TM53 Power Trick |TM54 Mist |TM55 Aeroblast |                - |          - |TM58 Seed Bomb |TM59 Future Sight |              - |TM61 Rock Polish |         - |TM63 BubbleBeam |        - |TM65 Fire Spin |TM66 Ice Fang |TM67 String Shot |TM68 Constrict |TM69 Super Fang |TM70 Crush Claw |TM71 Hyper Voice |TM72 X-Scissor |TM73 Growl |TM74 Baton Pass |              - |              - |TM77 Teleport |              - |TM79 Lucky Chant |               - |            - |TM82 Focus Blast |TM83 Charge |TM84 Bounce |              - |              - |              - |TM88 Tickle |TM89 SolarBeam |                - |            - |              - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
260 SWAMPERT      |TM01 Earthquake |                - |TM03 Absorb |TM04 Night Slash |              - |TM06 Metal Claw |           - |                - |TM09 Leech Life |TM10 Poison Fang |         - |               - |           - |               - |               - |TM16 Close Combat |                - |         - |                - |            - |TM21 Luster Purge |TM22 Sing |TM23 Ominous Wind |TM24 Assurance |TM25 Captivate |TM26 Return |             - |              - |               - |TM30 Hyper Beam |TM31 Psycho Boost |TM32 Signal Beam |TM33 Heart Swap |              - |        - |TM36 Knock Off |TM37 ThunderPunch |            - |                - |TM40 Rock Wrecker |TM41 Outrage |TM42 Wring Out |TM43 Attack Order |TM44 Superpower |TM45 Mirror Move |             - |TM47 Mind Reader |                - |               - |TM50 Bonemerang |TM51 Overheat |              - |TM53 Power Trick |        - |             - |TM56 Cosmic Power |TM57 Growth |             - |TM59 Future Sight |              - |TM61 Rock Polish |TM62 Fling |TM63 BubbleBeam |TM64 Lick |             - |TM66 Ice Fang |TM67 String Shot |TM68 Constrict |              - |              - |TM71 Hyper Voice |TM72 X-Scissor |TM73 Growl |TM74 Baton Pass |              - |TM76 Dark Pulse |TM77 Teleport |              - |TM79 Lucky Chant |TM80 Pin Missile |            - |               - |TM83 Charge |          - |              - |              - |              - |          - |TM89 SolarBeam |                - |            - |TM92 Skill Swap |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
261 POOCHYENA     |TM01 Earthquake |                - |          - |TM04 Night Slash |TM05 Double Hit |              - |TM07 Gravity |TM08 Stealth Rock |              - |               - |         - |               - |           - |               - |TM15 Doom Desire |                - |                - |TM18 Stomp |                - |            - |                - |        - |TM23 Ominous Wind |             - |             - |          - |TM27 Ice Punch |              - |               - |              - |TM31 Psycho Boost |TM32 Signal Beam |              - |TM34 Fire Punch |TM35 Acid |TM36 Knock Off |                - |            - |                - |                - |TM41 Outrage |             - |                - |TM44 Superpower |               - |             - |TM47 Mind Reader |TM48 Spike Cannon |               - |              - |            - |TM52 Horn Drill |TM53 Power Trick |        - |             - |TM56 Cosmic Power |TM57 Growth |             - |                - |              - |TM61 Rock Polish |TM62 Fling |              - |        - |             - |            - |               - |TM68 Constrict |              - |TM70 Crush Claw |TM71 Hyper Voice |TM72 X-Scissor |         - |TM74 Baton Pass |              - |TM76 Dark Pulse |TM77 Teleport |              - |TM79 Lucky Chant |               - |TM81 ViceGrip |TM82 Focus Blast |          - |          - |TM85 Worry Seed |TM86 Submission |TM87 Air Cutter |TM88 Tickle |TM89 SolarBeam |TM90 Selfdestruct |            - |TM92 Skill Swap |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
262 MIGHTYENA     |TM01 Earthquake |TM02 AncientPower |TM03 Absorb |TM04 Night Slash |              - |TM06 Metal Claw |TM07 Gravity |                - |              - |TM10 Poison Fang |TM11 Block |TM12 Aura Sphere |TM13 Recover |TM14 Meteor Mash |TM15 Doom Desire |                - |TM17 Light Screen |TM18 Stomp |TM19 Natural Gift |TM20 Meditate |                - |TM22 Sing |TM23 Ominous Wind |             - |             - |TM26 Return |             - |              - |TM29 Water Sport |              - |TM31 Psycho Boost |TM32 Signal Beam |              - |              - |TM35 Acid |TM36 Knock Off |                - |TM38 Eruption |TM39 Dragon Pulse |TM40 Rock Wrecker |TM41 Outrage |TM42 Wring Out |TM43 Attack Order |TM44 Superpower |TM45 Mirror Move |TM46 Power Gem |TM47 Mind Reader |TM48 Spike Cannon |TM49 Odor Sleuth |TM50 Bonemerang |            - |TM52 Horn Drill |TM53 Power Trick |TM54 Mist |             - |TM56 Cosmic Power |TM57 Growth |             - |                - |TM60 Needle Arm |               - |TM62 Fling |              - |        - |TM65 Fire Spin |            - |               - |             - |              - |TM70 Crush Claw |TM71 Hyper Voice |TM72 X-Scissor |         - |TM74 Baton Pass |              - |TM76 Dark Pulse |            - |TM78 Hammer Arm |TM79 Lucky Chant |               - |            - |TM82 Focus Blast |TM83 Charge |TM84 Bounce |              - |              - |TM87 Air Cutter |          - |             - |                - |            - |TM92 Skill Swap |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
