Randomizer Version: 4.5.1-HAL
Random Seed: 85825638270474
Settings String: 320WRECAgKXAJoAnQCRAAKjJGkECQEACQACCQASEgAAAAAADAiI5AHkRAAICTIGBQLKAHEAFlBva2Vtb24gU291bFNpbHZlciAoVSnkkKFMusobtQ==

--Randomized Evolutions--
BULBASAUR       -> HITMONCHAN     
494 DEOXYS-A      |              - |TM02 FeatherDance |           - |               - |             - |TM06 Air Slash |              - |            - |         - |TM10 Bullet Seed |              - |TM12 Judgment |TM13 Charm |            - |               - |             - |                - |TM18 Heal Bell |             - |TM20 Poison Jab |          - |TM22 Pay Day |TM23 Beat Up |TM24 Rock Wrecker |TM25 Frenzy Plant |TM26 Outrage |TM27 Wrap |TM28 Hydro Pump |TM29 Swagger |TM30 Thunderbolt |             - |             - |              - |TM34 Meditate |TM35 Absorb |TM36 Arm Thrust |TM37 Power Swap |TM38 Doom Desire |               - |               - |TM41 Growth |               - |TM43 Trick |                - |        - |               - |        - |TM48 Psych Up |TM49 Hyper Voice |TM50 ViceGrip |        - |             - |               - |                - |TM55 Captivate |TM56 Flame Wheel |TM57 Meteor Mash |TM58 Blaze Kick |              - |          - |TM61 Mirror Move |               - |TM63 Endure |              - |TM65 Selfdestruct |           - |TM67 Skill Swap |TM68 Jump Kick |              - |              - |TM71 Psycho Boost |          - |TM73 Destiny Bond |              - |              - |TM76 Belly Drum |                - |TM78 Poison Fang |TM79 Hydro Cannon |               - |TM81 Astonish |             - |TM83 Flare Blitz |TM84 Tail Whip |       - |              - |          - |TM88 Nightmare |                - |TM90 Facade |TM91 Gust |           - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
495 DEOXYS-D      |              - |                - |           - |TM04 Dizzy Punch |TM05 Stockpile |TM06 Air Slash |              - |            - |         - |               - |              - |TM12 Judgment |TM13 Charm |TM14 Megahorn |TM15 Dream Eater |             - |                - |TM18 Heal Bell |TM19 Aqua Tail |TM20 Poison Jab |          - |TM22 Pay Day |           - |                - |TM25 Frenzy Plant |TM26 Outrage |TM27 Wrap |              - |           - |TM30 Thunderbolt |             - |TM32 Twineedle |TM33 Horn Drill |TM34 Meditate |          - |              - |TM37 Power Swap |               - |TM39 Double-Edge |TM40 String Shot |TM41 Growth |               - |TM43 Trick |                - |TM45 Rage |TM46 Magnet Bomb |        - |            - |TM49 Hyper Voice |            - |TM51 Howl |TM52 Mist Ball |TM53 Power Trick |TM54 Spacial Rend |TM55 Captivate |TM56 Flame Wheel |               - |TM58 Blaze Kick |TM59 Pain Split |          - |               - |TM62 Gastro Acid |TM63 Endure |TM64 Punishment |TM65 Selfdestruct |TM66 Psychic |TM67 Skill Swap |TM68 Jump Kick |TM69 Steel Wing |TM70 Double Hit |TM71 Psycho Boost |          - |                - |TM74 Earthquake |TM75 Conversion |TM76 Belly Drum |TM77 Bullet Punch |TM78 Poison Fang |TM79 Hydro Cannon |               - |            - |TM82 Rock Tomb |               - |TM84 Tail Whip |       - |TM86 Trump Card |          - |             - |                - |TM90 Facade |TM91 Gust |           - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
496 DEOXYS-S      |TM01 Blast Burn |TM02 FeatherDance |TM03 Agility |               - |             - |             - |              - |TM08 Mud-Slap |TM09 Curse |               - |TM11 Rock Throw |TM12 Judgment |TM13 Charm |            - |               - |TM16 Moonlight |TM17 ThunderShock |TM18 Heal Bell |             - |              - |TM21 Encore |           - |TM23 Beat Up |                - |TM25 Frenzy Plant |           - |TM27 Wrap |TM28 Hydro Pump |TM29 Swagger |               - |             - |TM32 Twineedle |TM33 Horn Drill |            - |          - |TM36 Arm Thrust |              - |               - |TM39 Double-Edge |TM40 String Shot |TM41 Growth |               - |TM43 Trick |                - |TM45 Rage |               - |        - |TM48 Psych Up |               - |            - |TM51 Howl |             - |               - |TM54 Spacial Rend |TM55 Captivate |               - |TM57 Meteor Mash |              - |TM59 Pain Split |          - |               - |TM62 Gastro Acid |          - |TM64 Punishment |TM65 Selfdestruct |           - |TM67 Skill Swap |             - |TM69 Steel Wing |TM70 Double Hit |TM71 Psycho Boost |TM72 Snatch |                - |              - |TM75 Conversion |TM76 Belly Drum |TM77 Bullet Punch |               - |                - |               - |            - |TM82 Rock Tomb |               - |TM84 Tail Whip |       - |              - |          - |TM88 Nightmare |                - |TM90 Facade |TM91 Gust |           - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
497 WORMADAM-S    |              - |                - |TM03 Agility |TM04 Dizzy Punch |             - |TM06 Air Slash |              - |TM08 Mud-Slap |         - |               - |TM11 Rock Throw |            - |         - |TM14 Megahorn |               - |TM16 Moonlight |TM17 ThunderShock |             - |             - |              - |TM21 Encore |           - |           - |                - |                - |           - |TM27 Wrap |TM28 Hydro Pump |           - |               - |TM31 Heat Wave |             - |              - |            - |          - |TM36 Arm Thrust |TM37 Power Swap |TM38 Doom Desire |TM39 Double-Edge |TM40 String Shot |TM41 Growth |TM42 Fury Swipes |TM43 Trick |TM44 Thunder Fang |TM45 Rage |               - |TM47 Smog |            - |TM49 Hyper Voice |            - |        - |TM52 Mist Ball |               - |TM54 Spacial Rend |TM55 Captivate |TM56 Flame Wheel |               - |              - |              - |          - |               - |TM62 Gastro Acid |          - |              - |                - |           - |              - |             - |TM69 Steel Wing |TM70 Double Hit |TM71 Psycho Boost |TM72 Snatch |                - |TM74 Earthquake |TM75 Conversion |TM76 Belly Drum |                - |TM78 Poison Fang |                - |TM80 Night Slash |TM81 Astonish |             - |TM83 Flare Blitz |TM84 Tail Whip |TM85 Dig |TM86 Trump Card |          - |             - |                - |TM90 Facade |        - |           - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
498 WORMADAM-T    |TM01 Blast Burn |                - |TM03 Agility |               - |TM05 Stockpile |             - |TM07 Heal Order |            - |         - |               - |              - |            - |         - |TM14 Megahorn |TM15 Dream Eater |TM16 Moonlight |                - |TM18 Heal Bell |TM19 Aqua Tail |              - |          - |           - |           - |TM24 Rock Wrecker |                - |TM26 Outrage |TM27 Wrap |TM28 Hydro Pump |           - |TM30 Thunderbolt |             - |             - |              - |            - |TM35 Absorb |              - |              - |               - |               - |TM40 String Shot |          - |TM42 Fury Swipes |TM43 Trick |TM44 Thunder Fang |        - |TM46 Magnet Bomb |        - |            - |               - |            - |        - |             - |               - |                - |TM55 Captivate |TM56 Flame Wheel |TM57 Meteor Mash |TM58 Blaze Kick |              - |TM60 Bubble |TM61 Mirror Move |               - |          - |              - |                - |           - |TM67 Skill Swap |             - |TM69 Steel Wing |TM70 Double Hit |TM71 Psycho Boost |TM72 Snatch |TM73 Destiny Bond |              - |              - |TM76 Belly Drum |TM77 Bullet Punch |               - |TM79 Hydro Cannon |TM80 Night Slash |            - |TM82 Rock Tomb |               - |             - |TM85 Dig |TM86 Trump Card |          - |             - |                - |          - |TM91 Gust |TM92 Memento |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
499 GIRATINA-O    |TM01 Blast Burn |                - |           - |               - |TM05 Stockpile |TM06 Air Slash |TM07 Heal Order |            - |TM09 Curse |               - |TM11 Rock Throw |            - |TM13 Charm |TM14 Megahorn |TM15 Dream Eater |             - |                - |TM18 Heal Bell |             - |TM20 Poison Jab |          - |           - |TM23 Beat Up |TM24 Rock Wrecker |                - |TM26 Outrage |        - |              - |TM29 Swagger |TM30 Thunderbolt |TM31 Heat Wave |TM32 Twineedle |TM33 Horn Drill |            - |TM35 Absorb |              - |TM37 Power Swap |               - |               - |               - |          - |               - |         - |TM44 Thunder Fang |TM45 Rage |TM46 Magnet Bomb |        - |            - |TM49 Hyper Voice |            - |        - |             - |TM53 Power Trick |TM54 Spacial Rend |TM55 Captivate |               - |TM57 Meteor Mash |              - |TM59 Pain Split |TM60 Bubble |TM61 Mirror Move |               - |          - |TM64 Punishment |TM65 Selfdestruct |           - |TM67 Skill Swap |TM68 Jump Kick |              - |TM70 Double Hit |                - |          - |                - |TM74 Earthquake |TM75 Conversion |              - |TM77 Bullet Punch |               - |                - |               - |            - |             - |               - |             - |TM85 Dig |TM86 Trump Card |TM87 U-turn |TM88 Nightmare |TM89 Shadow Punch |TM90 Facade |TM91 Gust |TM92 Memento |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
500 SHAYMIN-S     |              - |                - |           - |               - |             - |TM06 Air Slash |              - |            - |         - |TM10 Bullet Seed |TM11 Rock Throw |            - |         - |            - |               - |TM16 Moonlight |TM17 ThunderShock |TM18 Heal Bell |             - |              - |TM21 Encore |           - |           - |TM24 Rock Wrecker |TM25 Frenzy Plant |           - |TM27 Wrap |              - |           - |TM30 Thunderbolt |             - |TM32 Twineedle |TM33 Horn Drill |TM34 Meditate |          - |              - |              - |               - |               - |               - |          - |TM42 Fury Swipes |TM43 Trick |TM44 Thunder Fang |        - |TM46 Magnet Bomb |        - |            - |TM49 Hyper Voice |            - |        - |             - |               - |                - |             - |               - |TM57 Meteor Mash |TM58 Blaze Kick |              - |          - |TM61 Mirror Move |               - |          - |              - |                - |           - |              - |             - |              - |TM70 Double Hit |                - |          - |TM73 Destiny Bond |              - |              - |              - |TM77 Bullet Punch |               - |TM79 Hydro Cannon |               - |            - |TM82 Rock Tomb |TM83 Flare Blitz |             - |TM85 Dig |              - |TM87 U-turn |             - |                - |TM90 Facade |        - |           - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
501 ROTOM-H       |              - |                - |           - |               - |             - |TM06 Air Slash |              - |            - |         - |TM10 Bullet Seed |TM11 Rock Throw |            - |         - |            - |               - |TM16 Moonlight |TM17 ThunderShock |TM18 Heal Bell |             - |              - |TM21 Encore |           - |           - |TM24 Rock Wrecker |TM25 Frenzy Plant |           - |TM27 Wrap |              - |           - |TM30 Thunderbolt |             - |TM32 Twineedle |TM33 Horn Drill |TM34 Meditate |          - |              - |              - |               - |               - |               - |          - |TM42 Fury Swipes |TM43 Trick |TM44 Thunder Fang |        - |TM46 Magnet Bomb |        - |            - |TM49 Hyper Voice |            - |        - |             - |               - |                - |             - |               - |TM57 Meteor Mash |TM58 Blaze Kick |              - |          - |TM61 Mirror Move |               - |          - |              - |                - |           - |              - |             - |              - |TM70 Double Hit |                - |          - |TM73 Destiny Bond |              - |              - |              - |TM77 Bullet Punch |               - |TM79 Hydro Cannon |               - |            - |TM82 Rock Tomb |TM83 Flare Blitz |             - |TM85 Dig |              - |TM87 U-turn |             - |                - |TM90 Facade |        - |           - |HM01 Cut |HM02 Fly |HM03 Surf |HM04 Strength |HM05 Whirlpool |HM06 Rock Smash |HM07 Waterfall |HM08 Rock Climb |
502 ROTOM-W       |              - |                - |           - |               - |             - |TM06 Air Slash |              - |            - |         - |TM10 Bullet Seed |TM11 Rock Throw |            - |         - |            - |               - |TM16 Moonlight |TM17 ThunderShock |TM18 Heal Bell |             - |              - |TM21 Encore |           - |           - |TM24 Rock Wrecker |TM25 Frenzy Plant |           - |TM27 Wrap |              - |           - |TM30 Thunderbolt |             - |TM32 Twineedle |TM33 Horn Drill |TM34 Meditate |          - |              - |              - |               - |               - |               - |          - |TM42 Fury Swipes |TM43 Trick |TM44 Thunder Fang |        - |TM46 Magnet Bomb |        - |            - |TM49 Hyper Voice |            - |        - |             - |               - |                - |             - |               - |TM57 Meteor Mash |TM58 Blaze Kick |              - |          - |TM61 Mirror Move |               - |          - |              - |                - |           - |              - |             - |              - |TM70 Double Hit |                - |          - |TM73 Destiny Bond |              - |              - |              - |TM77 Bullet Punch |               - |TM79 Hydro Cannon |               - |            - |TM82 Rock Tomb |TM83 Flare Blitz |             - |TM85 Dig |              - |TM87 U-turn |             - |                - |TM90 Facade |        - |           - |       - |       - |        - |            - |             - |              - |             - |              - |
503 ROTOM-Fr      |              - |                - |           - |               - |             - |TM06 Air Slash |              - |            - |         - |TM10 Bullet Seed |TM11 Rock Throw |            - |         - |            - |               - |TM16 Moonlight |TM17 ThunderShock |TM18 Heal Bell |             - |              - |TM21 Encore |           - |           - |TM24 Rock Wrecker |TM25 Frenzy Plant |           - |TM27 Wrap |              - |           - |TM30 Thunderbolt |             - |TM32 Twineedle |TM33 Horn Drill |TM34 Meditate |          - |              - |              - |               - |               - |               - |          - |TM42 Fury Swipes |TM43 Trick |TM44 Thunder Fang |        - |TM46 Magnet Bomb |        - |            - |TM49 Hyper Voice |            - |        - |             - |               - |                - |             - |               - |TM57 Meteor Mash |TM58 Blaze Kick |              - |          - |TM61 Mirror Move |               - |          - |              - |                - |           - |              - |             - |              - |TM70 Double Hit |                - |          - |TM73 Destiny Bond |              - |              - |              - |TM77 Bullet Punch |               - |TM79 Hydro Cannon |               - |            - |TM82 Rock Tomb |TM83 Flare Blitz |             - |TM85 Dig |              - |TM87 U-turn |             - |                - |TM90 Facade |        - |           - |       - |       - |        - |            - |             - |              - |             - |              - |
504 ROTOM-Fa      |              - |                - |           - |               - |             - |TM06 Air Slash |              - |            - |         - |TM10 Bullet Seed |TM11 Rock Throw |            - |         - |            - |               - |TM16 Moonlight |TM17 ThunderShock |TM18 Heal Bell |             - |              - |TM21 Encore |           - |           - |TM24 Rock Wrecker |TM25 Frenzy Plant |           - |TM27 Wrap |              - |           - |TM30 Thunderbolt |             - |TM32 Twineedle |TM33 Horn Drill |TM34 Meditate |          - |              - |              - |               - |               - |               - |          - |TM42 Fury Swipes |TM43 Trick |TM44 Thunder Fang |        - |TM46 Magnet Bomb |        - |            - |TM49 Hyper Voice |            - |        - |             - |               - |                - |             - |               - |TM57 Meteor Mash |TM58 Blaze Kick |              - |          - |TM61 Mirror Move |               - |          - |              - |                - |           - |              - |             - |              - |TM70 Double Hit |                - |          - |TM73 Destiny Bond |              - |              - |              - |TM77 Bullet Punch |               - |TM79 Hydro Cannon |               - |            - |TM82 Rock Tomb |TM83 Flare Blitz |             - |TM85 Dig |              - |TM87 U-turn |             - |                - |TM90 Facade |        - |           - |       - |       - |        - |            - |             - |              - |             - |              - |
505 ROTOM-M       |              - |                - |           - |               - |             - |TM06 Air Slash |              - |            - |         - |TM10 Bullet Seed |TM11 Rock Throw |            - |         - |            - |               - |TM16 Moonlight |TM17 ThunderShock |TM18 Heal Bell |             - |              - |TM21 Encore |           - |           - |TM24 Rock Wrecker |TM25 Frenzy Plant |           - |TM27 Wrap |              - |           - |TM30 Thunderbolt |             - |TM32 Twineedle |TM33 Horn Drill |TM34 Meditate |          - |              - |              - |               - |               - |               - |          - |TM42 Fury Swipes |TM43 Trick |TM44 Thunder Fang |        - |TM46 Magnet Bomb |        - |            - |TM49 Hyper Voice |            - |        - |             - |               - |                - |             - |               - |TM57 Meteor Mash |TM58 Blaze Kick |              - |          - |TM61 Mirror Move |               - |          - |              - |                - |           - |              - |             - |              - |TM70 Double Hit |                - |          - |TM73 Destiny Bond |              - |              - |              - |TM77 Bullet Punch |               - |TM79 Hydro Cannon |               - |            - |TM82 Rock Tomb |TM83 Flare Blitz |             - |TM85 Dig |              - |TM87 U-turn |             - |                - |TM90 Facade |        - |           - |       - |       - |        - |            - |             - |              - |             - |              - |

--Move Tutor Moves--
Dive       -> Aeroblast 
Mud-Slap   -> Aqua Ring 
Fury Cutter -> DoubleSlap
Icy Wind   -> Natural Gift
Rollout    -> Lock-On   
ThunderPunch -> Spit Up   
Fire Punch -> Drain Punch
Superpower -> Explosion 
Ice Punch  -> PoisonPowder
Iron Head  -> Rock Blast
Aqua Tail  -> Constrict 
Ominous Wind -> Ominous Wind
Gastro Acid -> Water Gun 
Snore      -> Drill Peck
Spite      -> Volt Tackle
Air Cutter -> Brave Bird
Helping Hand -> Nature Power
Endeavor   -> Magical Leaf
Outrage    -> Trick Room
AncientPower -> Future Sight
Synthesis  -> Vine Whip 
Signal Beam -> Sludge Bomb
Zen Headbutt -> Helping Hand
Vacuum Wave -> Rapid Spin
Earth Power -> Aura Sphere
Gunk Shot  -> Night Shade
Twister    -> Rollout   
Seed Bomb  -> Hi Jump Kick
Iron Defense -> Lucky Chant
Magnet Rise -> Flatter   
Last Resort -> Roar      
Bounce     -> Fake Out  
Trick      -> Dragon Rush
Heat Wave  -> AncientPower
Knock Off  -> Mirror Coat
Sucker Punch -> Sweet Kiss
Swift      -> Fire Spin 
Uproar     -> Slam      
Super Fang -> Ingrain   
Pain Split -> Hammer Arm
String Shot -> Mach Punch
Tailwind   -> Fury Cutter
Gravity    -> Hyper Fang
Worry Seed -> Sleep Powder
Magic Coat -> Sand Tomb 
Role Play  -> Hidden Power
Heal Bell  -> Hyper Beam
Low Kick   -> Giga Impact
Sky Attack -> Splash    
Block      -> Razor Wind
Bug Bite   -> Present   
Headbutt   -> Confuse Ray

--Move Tutor Compatibility--
  1 BULBASAUR     |        - |Aqua Ring |DoubleSlap |           - |Lock-On |      - |          - |        - |           - |         - |        - |Ominous Wind |        - |         - |Volt Tackle |Brave Bird |Nature Power |           - |         - |Future Sight |        - |Sludge Bomb |           - |Rapid Spin |          - |Night Shade |Rollout |           - |          - |      - |Roar |Fake Out |          - |           - |          - |Sweet Kiss |Fire Spin |   - |      - |         - |Mach Punch |Fury Cutter |Hyper Fang |Sleep Powder |        - |Hidden Power |Hyper Beam |          - |Splash |         - |Present |          - |
  2 IVYSAUR       |Aeroblast |        - |         - |           - |Lock-On |      - |Drain Punch |        - |PoisonPowder |         - |        - |Ominous Wind |        - |         - |Volt Tackle |         - |Nature Power |           - |Trick Room |           - |        - |Sludge Bomb |           - |Rapid Spin |Aura Sphere |          - |      - |           - |Lucky Chant |      - |Roar |Fake Out |Dragon Rush |AncientPower |          - |Sweet Kiss |Fire Spin |   - |Ingrain |Hammer Arm |Mach Punch |Fury Cutter |Hyper Fang |Sleep Powder |        - |Hidden Power |Hyper Beam |          - |     - |         - |Present |          - |
  3 VENUSAUR      |        - |        - |DoubleSlap |Natural Gift |Lock-On |      - |Drain Punch |        - |PoisonPowder |Rock Blast |        - |           - |        - |Drill Peck |Volt Tackle |Brave Bird |           - |Magical Leaf |         - |Future Sight |Vine Whip |Sludge Bomb |           - |Rapid Spin |          - |          - |      - |Hi Jump Kick |Lucky Chant |Flatter |   - |Fake Out |          - |           - |          - |         - |Fire Spin |   - |      - |         - |         - |Fury Cutter |Hyper Fang |           - |        - |           - |         - |          - |Splash |Razor Wind |      - |Confuse Ray |
  4 CHARMANDER    |Aeroblast |Aqua Ring |DoubleSlap |Natural Gift |      - |      - |          - |Explosion |PoisonPowder |Rock Blast |        - |           - |Water Gun |Drill Peck |          - |         - |           - |           - |         - |Future Sight |Vine Whip |          - |           - |Rapid Spin |          - |          - |Rollout |Hi Jump Kick |Lucky Chant |Flatter |   - |Fake Out |          - |           - |          - |         - |        - |   - |      - |Hammer Arm |         - |Fury Cutter |         - |Sleep Powder |Sand Tomb |Hidden Power |         - |Giga Impact |     - |Razor Wind |      - |Confuse Ray |
  5 CHARMELEON    |        - |Aqua Ring |         - |Natural Gift |      - |      - |Drain Punch |Explosion |PoisonPowder |         - |Constrict |           - |Water Gun |         - |Volt Tackle |Brave Bird |           - |Magical Leaf |Trick Room |Future Sight |Vine Whip |          - |Helping Hand |         - |Aura Sphere |Night Shade |Rollout |           - |Lucky Chant |Flatter |Roar |Fake Out |Dragon Rush |           - |Mirror Coat |         - |        - |   - |      - |         - |Mach Punch |          - |Hyper Fang |Sleep Powder |        - |Hidden Power |Hyper Beam |Giga Impact |     - |         - |      - |Confuse Ray |
  6 CHARIZARD     |        - |Aqua Ring |         - |           - |Lock-On |      - |Drain Punch |        - |PoisonPowder |         - |        - |           - |Water Gun |Drill Peck |          - |Brave Bird |           - |Magical Leaf |         - |           - |        - |          - |           - |Rapid Spin |Aura Sphere |          - |      - |           - |          - |Flatter |   - |       - |          - |           - |          - |         - |Fire Spin |   - |Ingrain |Hammer Arm |Mach Punch |          - |Hyper Fang |           - |        - |Hidden Power |Hyper Beam |Giga Impact |     - |         - |Present |          - |
  7 SQUIRTLE      |        - |Aqua Ring |         - |           - |Lock-On |      - |Drain Punch |Explosion |           - |         - |Constrict |Ominous Wind |        - |         - |Volt Tackle |Brave Bird |Nature Power |Magical Leaf |Trick Room |           - |        - |Sludge Bomb |Helping Hand |Rapid Spin |          - |Night Shade |Rollout |           - |Lucky Chant |      - |   - |       - |Dragon Rush |AncientPower |          - |Sweet Kiss |Fire Spin |   - |Ingrain |         - |Mach Punch |          - |         - |Sleep Powder |        - |Hidden Power |Hyper Beam |Giga Impact |Splash |         - |Present |Confuse Ray |
  8 WARTORTLE     |        - |        - |         - |           - |      - |      - |          - |Explosion |PoisonPowder |Rock Blast |Constrict |           - |Water Gun |Drill Peck |Volt Tackle |         - |           - |           - |         - |Future Sight |        - |          - |           - |         - |Aura Sphere |Night Shade |Rollout |Hi Jump Kick |          - |      - |Roar |Fake Out |Dragon Rush |AncientPower |          - |         - |        - |Slam |Ingrain |Hammer Arm |         - |Fury Cutter |Hyper Fang |Sleep Powder |Sand Tomb |Hidden Power |Hyper Beam |Giga Impact |     - |Razor Wind |Present |          - |
  9 BLASTOISE     |Aeroblast |Aqua Ring |         - |Natural Gift |Lock-On |Spit Up |Drain Punch |Explosion |           - |Rock Blast |        - |Ominous Wind |Water Gun |Drill Peck |Volt Tackle |         - |           - |Magical Leaf |         - |           - |        - |          - |Helping Hand |         - |          - |          - |Rollout |           - |          - |      - |   - |       - |Dragon Rush |           - |          - |Sweet Kiss |        - |Slam |      - |Hammer Arm |Mach Punch |          - |Hyper Fang |           - |        - |Hidden Power |Hyper Beam |          - |Splash |         - |Present |          - |
 10 CATERPIE      |Aeroblast |        - |DoubleSlap |Natural Gift |Lock-On |Spit Up |          - |        - |           - |         - |Constrict |Ominous Wind |        - |Drill Peck |Volt Tackle |Brave Bird |           - |           - |         - |           - |        - |          - |           - |         - |          - |Night Shade |      - |           - |Lucky Chant |Flatter |Roar |       - |          - |           - |          - |         - |Fire Spin |Slam |      - |Hammer Arm |         - |Fury Cutter |Hyper Fang |           - |        - |Hidden Power |         - |          - |     - |Razor Wind |      - |          - |
 11 METAPOD       |Aeroblast |        - |DoubleSlap |           - |      - |Spit Up |          - |        - |PoisonPowder |Rock Blast |        - |           - |Water Gun |         - |Volt Tackle |         - |Nature Power |           - |Trick Room |           - |        - |          - |           - |Rapid Spin |          - |          - |      - |           - |Lucky Chant |Flatter |   - |Fake Out |          - |           - |Mirror Coat |         - |Fire Spin |Slam |Ingrain |         - |         - |          - |         - |Sleep Powder |        - |Hidden Power |         - |          - |     - |Razor Wind |Present |          - |
 12 BUTTERFREE    |Aeroblast |Aqua Ring |DoubleSlap |Natural Gift |Lock-On |Spit Up |          - |        - |PoisonPowder |         - |        - |Ominous Wind |        - |Drill Peck |Volt Tackle |Brave Bird |           - |           - |Trick Room |           - |        - |          - |Helping Hand |Rapid Spin |          - |Night Shade |      - |Hi Jump Kick |Lucky Chant |      - |   - |Fake Out |          - |AncientPower |          - |         - |Fire Spin |   - |Ingrain |Hammer Arm |         - |          - |         - |           - |Sand Tomb |Hidden Power |         - |          - |     - |Razor Wind |Present |          - |
 13 WEEDLE        |Aeroblast |Aqua Ring |         - |           - |      - |      - |Drain Punch |Explosion |PoisonPowder |         - |        - |Ominous Wind |        - |         - |          - |         - |Nature Power |           - |Trick Room |Future Sight |Vine Whip |Sludge Bomb |           - |         - |Aura Sphere |          - |      - |Hi Jump Kick |Lucky Chant |      - |Roar |Fake Out |Dragon Rush |AncientPower |Mirror Coat |         - |Fire Spin |Slam |      - |         - |Mach Punch |Fury Cutter |         - |           - |        - |Hidden Power |         - |Giga Impact |     - |Razor Wind |      - |Confuse Ray |
 14 KAKUNA        |        - |Aqua Ring |DoubleSlap |Natural Gift |      - |      - |          - |Explosion |PoisonPowder |Rock Blast |Constrict |Ominous Wind |Water Gun |         - |Volt Tackle |Brave Bird |           - |           - |Trick Room |           - |Vine Whip |Sludge Bomb |           - |         - |Aura Sphere |Night Shade |Rollout |Hi Jump Kick |          - |      - |   - |       - |          - |           - |Mirror Coat |Sweet Kiss |        - |   - |Ingrain |         - |Mach Punch |Fury Cutter |         - |           - |Sand Tomb |Hidden Power |Hyper Beam |          - |Splash |         - |Present |Confuse Ray |
 15 BEEDRILL      |Aeroblast |        - |DoubleSlap |Natural Gift |Lock-On |Spit Up |Drain Punch |Explosion |           - |         - |        - |Ominous Wind |Water Gun |Drill Peck |Volt Tackle |         - |           - |           - |Trick Room |           - |        - |Sludge Bomb |           - |Rapid Spin |Aura Sphere |          - |Rollout |Hi Jump Kick |          - |      - |Roar |       - |          - |           - |Mirror Coat |Sweet Kiss |Fire Spin |   - |      - |         - |Mach Punch |Fury Cutter |Hyper Fang |           - |Sand Tomb |           - |         - |          - |Splash |         - |      - |Confuse Ray |
 16 PIDGEY        |Aeroblast |        - |         - |Natural Gift |      - |Spit Up |          - |        - |           - |         - |        - |Ominous Wind |Water Gun |         - |Volt Tackle |         - |Nature Power |           - |Trick Room |           - |        - |Sludge Bomb |Helping Hand |         - |Aura Sphere |          - |Rollout |Hi Jump Kick |Lucky Chant |Flatter |Roar |       - |          - |AncientPower |          - |         - |        - |   - |      - |Hammer Arm |         - |Fury Cutter |         - |           - |        - |Hidden Power |Hyper Beam |          - |     - |         - |      - |          - |
 17 PIDGEOTTO     |Aeroblast |        - |         - |           - |Lock-On |      - |Drain Punch |        - |           - |Rock Blast |Constrict |           - |        - |Drill Peck |Volt Tackle |         - |           - |Magical Leaf |Trick Room |           - |Vine Whip |          - |           - |         - |          - |          - |Rollout |Hi Jump Kick |          - |      - |   - |Fake Out |Dragon Rush |           - |          - |Sweet Kiss |        - |   - |Ingrain |         - |Mach Punch |Fury Cutter |         - |           - |        - |           - |Hyper Beam |Giga Impact |     - |Razor Wind |Present |          - |
 18 PIDGEOT       |        - |Aqua Ring |DoubleSlap |           - |Lock-On |Spit Up |Drain Punch |        - |PoisonPowder |         - |Constrict |Ominous Wind |Water Gun |         - |          - |         - |Nature Power |           - |Trick Room |           - |        - |Sludge Bomb |           - |         - |          - |          - |      - |Hi Jump Kick |Lucky Chant |Flatter |Roar |       - |Dragon Rush |AncientPower |Mirror Coat |         - |        - |Slam |      - |         - |         - |Fury Cutter |         - |Sleep Powder |        - |Hidden Power |Hyper Beam |          - |     - |         - |Present |          - |
 19 RATTATA       |Aeroblast |        - |         - |Natural Gift |Lock-On |      - |          - |Explosion |           - |Rock Blast |Constrict |Ominous Wind |Water Gun |         - |Volt Tackle |Brave Bird |           - |Magical Leaf |Trick Room |Future Sight |Vine Whip |          - |Helping Hand |Rapid Spin |          - |          - |      - |           - |          - |Flatter |Roar |       - |          - |           - |          - |         - |        - |   - |Ingrain |         - |         - |Fury Cutter |Hyper Fang |Sleep Powder |        - |Hidden Power |         - |          - |Splash |         - |Present |Confuse Ray |
